GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_bonferroni	p_sidak	p_holm	p_fdr_bh	study_items
GO:0001172	BP	e	transcription, RNA-templated  	1/54	15/269428	0.003	9	1	1	1	1	1	TraesCS2A02G319600
GO:0055085	BP	e	transmembrane transport       	4/54	3247/269428	0.00413	4	4	1	1	1	1	TraesCS2B02G013000, TraesCS2B02G058500, TraesCS2D02G009100, TraesCS2D02G009200
GO:0006810	BP	e	transport                     	5/54	5558/269428	0.0051	3	5	1	1	1	1	TraesCS2B02G013000, TraesCS2B02G058500, TraesCS2D02G009100, TraesCS2D02G009200, TraesCS5B02G550300
GO:0051234	BP	e	establishment of localization 	5/54	5577/269428	0.00517	2	5	1	1	1	1	TraesCS2B02G013000, TraesCS2B02G058500, TraesCS2D02G009100, TraesCS2D02G009200, TraesCS5B02G550300
GO:0051179	BP	e	localization                  	5/54	5636/269428	0.00541	1	5	1	1	1	1	TraesCS2B02G013000, TraesCS2B02G058500, TraesCS2D02G009100, TraesCS2D02G009200, TraesCS5B02G550300
GO:0008150	BP	e	biological_process            	16/54	44718/269428	0.016	0	16	1	1	1	1	TraesCS1D02G130200, TraesCS2A02G319600, TraesCS2A02G465300, TraesCS2A02G467100, TraesCS2A02G510300, TraesCS2B02G013000, TraesCS2B02G058500, TraesCS2D02G009100, TraesCS2D02G009200, TraesCS3D02G011900, TraesCS4A02G232000, TraesCS5B02G550300, TraesCS6B02G071500, TraesCS6B02G142700, TraesCS6B02G389200, TraesCS6B02G404500
GO:0006857	BP	e	oligopeptide transport        	1/54	90/269428	0.0179	7	1	1	1	1	1	TraesCS2D02G009200
GO:0015833	BP	e	peptide transport             	2/54	1085/269428	0.0202	6	2	1	1	1	1	TraesCS2D02G009200, TraesCS5B02G550300
GO:0042886	BP	e	amide transport               	2/54	1095/269428	0.0205	5	2	1	1	1	1	TraesCS2D02G009200, TraesCS5B02G550300
GO:0071705	BP	e	nitrogen compound transport   	2/54	1311/269428	0.0287	4	2	1	1	1	1	TraesCS2D02G009200, TraesCS5B02G550300
GO:0000413	BP	e	protein peptidyl-prolyl isomerization	1/54	146/269428	0.0288	9	1	1	1	1	1	TraesCS6B02G404500
