p_type	dpi	cultivar	GO	NS	enrichment	name	criteria	ratio_in_study	assigned_genes	total_genes	p-to-use	p_uncorrected	depth	study_count	p_fdr_bh	study_items
pfdr0.05	1dpi	OA	GO:0005975	BP	e	carbohydrate metabolic process	enriched-OA	23/329	23	329	1.16E-10	2.37E-13	3	23	1.16E-10	"TraesCS1A02G149300, TraesCS1A02G422900, TraesCS1B02G454200, TraesCS1D02G123700, TraesCS1D02G207000, TraesCS1D02G430700, TraesCS2A02G033600, TraesCS2A02G558200, TraesCS2D02G220900, TraesCS2D02G571400, TraesCS3A02G480300, TraesCS3A02G481600, TraesCS3B02G524700, TraesCS3B02G524800, TraesCS3D02G260300, TraesCS3D02G475100, TraesCS3D02G478000, TraesCS4B02G356800, TraesCS5A02G014400, TraesCS6A02G286900, TraesCS7A02G427100, TraesCS7D02G418600, TraesCSU02G169600"
pfdr0.05	1dpi	OA	GO:0006082	BP	e	organic acid metabolic process	enriched-OA	11/329	11	329	0.0025	3.20E-05	3	11	0.0025	"TraesCS1D02G123700, TraesCS2A02G381100, TraesCS2A02G493600, TraesCS2B02G308500, TraesCS2B02G521600, TraesCS5A02G014400, TraesCS6A02G222800, TraesCS6B02G342400, TraesCS7A02G241100, TraesCS7A02G392800, TraesCS7B02G136600"
pfdr0.05	1dpi	OA	GO:0006730	BP	e	one-carbon metabolic process  	enriched-OA	2/329	2	329	0.0463	0.00102	3	2	0.0463	"TraesCS2A02G493600, TraesCS2B02G521600"
pfdr0.05	1dpi	OA	GO:0006790	BP	e	sulfur compound metabolic process	enriched-OA	4/329	4	329	0.0433	0.000943	3	4	0.0433	"TraesCS2A02G032500, TraesCS2A02G493600, TraesCS2B02G521600, TraesCS7A02G442500"
pfdr0.05	1dpi	OA	GO:0006793	BP	e	phosphorus metabolic process  	enriched-OA	22/329	22	329	0.00765	0.000119	3	22	0.00765	"TraesCS1B02G036700, TraesCS1D02G123700, TraesCS2A02G107000, TraesCS2D02G571300, TraesCS2D02G572600, TraesCS3B02G005000, TraesCS3B02G005100, TraesCS3D02G438600, TraesCS3D02G491400, TraesCS4B02G043300, TraesCS4D02G040800, TraesCS5A02G014400, TraesCS5B02G428400, TraesCS5B02G454700, TraesCS6A02G004500, TraesCS6A02G168900, TraesCS6B02G152700, TraesCS6D02G374200, TraesCS6D02G375700, TraesCS7A02G040400, TraesCS7A02G434100, TraesCS7D02G036700"
puncorrected0.05	1dpi	SA	GO:0006810	BP	e	transport                     	enriched-SA	May-54	5	54	0.0051	0.0051	3	5	1	"TraesCS2B02G013000, TraesCS2B02G058500, TraesCS2D02G009100, TraesCS2D02G009200, TraesCS5B02G550300"
pfdr0.05	1dpi	OA	GO:0008061	MF	e	chitin binding                	enriched-OA	5/329	5	329	5.16E-06	3.70E-08	3	5	5.16E-06	"TraesCS2A02G033600, TraesCS2A02G558200, TraesCS2D02G571400, TraesCS3D02G260300, TraesCSU02G169600"
pfdr0.05	1dpi	OA	GO:0016021	CC	e	integral component of membrane	enriched-OA	38/329	38	329	0.000447	4.73E-06	3	38	0.000447	"TraesCS1A02G149300, TraesCS1A02G150100, TraesCS1B02G315700, TraesCS1B02G319200, TraesCS1B02G474100, TraesCS1D02G367600, TraesCS1D02G392000, TraesCS1D02G412000, TraesCS2A02G026900, TraesCS2A02G046600, TraesCS2A02G107100, TraesCS2B02G603000, TraesCS2D02G436200, TraesCS2D02G569900, TraesCS2D02G571200, TraesCS2D02G572600, TraesCS2D02G574200, TraesCS3A02G012300, TraesCS3D02G003500, TraesCS3D02G105000, TraesCS3D02G374200, TraesCS4A02G033600, TraesCS4A02G080900, TraesCS4A02G393600, TraesCS4A02G457700, TraesCS4A02G473600, TraesCS4A02G499900, TraesCS5A02G494800, TraesCS5D02G237800, TraesCS5D02G372300, TraesCS6A02G168900, TraesCS6A02G286900, TraesCS6B02G007400, TraesCS6B02G109300, TraesCS6D02G375700, TraesCS7A02G008600, TraesCS7D02G036700, TraesCS7D02G412900"
pfdr0.05	1dpi	OA	GO:0016798	MF	e	"hydrolase activity, acting on glycosyl bonds"	enriched-OA	19/329	19	329	1.44E-10	3.58E-13	3	19	1.44E-10	"TraesCS1A02G422900, TraesCS1B02G454200, TraesCS1D02G207000, TraesCS1D02G430700, TraesCS2A02G033600, TraesCS2A02G558200, TraesCS2D02G220900, TraesCS2D02G571400, TraesCS3A02G480300, TraesCS3A02G481600, TraesCS3B02G524700, TraesCS3B02G524800, TraesCS3D02G260300, TraesCS3D02G475100, TraesCS3D02G478000, TraesCS4B02G356800, TraesCS7A02G427100, TraesCS7D02G418600, TraesCSU02G169600"
pfdr0.05	1dpi	OA	GO:0016801	MF	e	"hydrolase activity, acting on ether bonds"	enriched-OA	2/329	2	329	0.00181	2.22E-05	3	2	0.00181	"TraesCS2A02G493600, TraesCS2B02G521600"
puncorrected0.05	1dpi	SA	GO:0016859	MF	e	cis-trans isomerase activity  	enriched-SA	19725	1	54	0.0302	0.0302	3	1	1	TraesCS6B02G404500
