Gene stable ID	NCBI gene ID
Os01g0107900	4326159
Os01g0109750	9266108
Os01g0111100	
Os01g0111900	9271945
Os01g0118400	4326077
Os01g0120300	
Os01g0120500	4326035
Os01g0128200	4325994
Os01g0208700	4325531
Os01g0367100	4325727
Os01g0501800	4324479
Os01g0511600	
Os01g0524500	4323963
Os01g0555800	
Os01g0702000	4326932
Os01g0795100	
Os01g0856500	4324749
Os01g0875700	4324778
Os01g0922800	
Os01g0942300	
Os02g0103800	4328000
Os02g0104700	4328006
Os02g0133100	
Os02g0192700	4328586
Os02g0199300	4328636
Os02g0209100	
Os02g0240100	4328841
Os02g0240300	4328842
Os02g0262600	
Os02g0262800	4328946
Os02g0320300	4329165
Os02g0556800	4329668
Os02g0564300	4329695
Os02g0662200	4330228
Os02g0794700	
Os02g0834700	4331275
Os03g0126300	
Os03g0132200	4331516
Os03g0169400	4331763
Os03g0197100	4331945
Os03g0202001	9272308
Os03g0275300	4332407
Os03g0345700	
Os03g0371300	
Os03g0371350	
Os03g0371400	
Os03g0382100	4332981
Os03g0410700	4333091
Os03g0665200	4333657
Os03g0665700	4333658
Os03g0684700	4333744
Os03g0726500	4333970
Os03g0790700	4334381
Os03g0790900	
Os03g0799000	4334439
Os03g0829200	4334657
Os03g0843400	4334749
Os03g0861700	
Os04g0105700	4334910
Os04g0107700	4334918
Os04g0117900	4334956
Os04g0118100	4334958
Os04g0118700	4334962
Os04g0182600	
Os04g0182650	
Os04g0213100	
Os04g0340300	4335518
Os04g0341500	
Os04g0344100	4335526
Os04g0344400	
Os04g0345400	
Os04g0374400	
Os04g0379400	4335622
Os04g0481300	4336185
Os04g0623800	4337051
Os04g0625000	107276041
Os04g0639300	
Os04g0685400	4337462
Os04g0691600	
Os05g0110100	4337587
Os05g0212600	
Os05g0212900	4338103
Os05g0213100	
Os05g0267800	4338247
Os05g0268500	4338250
Os05g0270875	
Os05g0280200	
Os05g0444300	4338935
Os05g0495900	4339201
Os05g0500200	
Os05g0500400	4339230
Os05g0510100	4339277
Os05g0533500	
Os05g0568300	4339648
Os06g0152800	4340162
Os06g0176500	
Os06g0177700	
Os06g0181400	4340311
Os06g0191700	
Os06g0191800	
Os06g0264500	
Os06g0292100	4340793
Os06g0315900	
Os06g0329900	4340919
Os06g0340200	
Os06g0607100	4341482
Os06g0639500	4341621
Os06g0694400	4341927
Os06g0697000	4341944
Os06g0699500	4341957
Os07g0133700	4342342
Os07g0176900	4342543
Os07g0421866	
Os07g0489800	4343262
Os07g0569100	4343649
Os07g0572050	
Os07g0572100	
Os07g0586200	4343749
Os07g0642600	4344077
Os07g0687900	4344351
Os07g0695100	4344399
Os08g0111800	4344487
Os08g0242800	4345044
Os08g0266300	
Os08g0288200	
Os08g0496800	4345929
Os08g0562800	
Os09g0240200	4346474
Os09g0275400	4346594
Os09g0436500	
Os09g0439050	
Os09g0450300	4347221
Os09g0538000	4347709
Os09g0541000	4347729
Os10g0109600	4347963
Os10g0111700	
Os10g0138100	4348072
Os10g0158400	
Os10g0162856	
Os10g0167900	4348180
Os10g0168300	
Os10g0168500	
Os10g0177300	
Os10g0182000	4348211
Os10g0213700	4348287
Os10g0330400	4348336
Os10g0460900	4348816
Os10g0490900	
Os10g0516100	4349114
Os10g0567100	4349430
Os10g0567400	4349433
Os10g0578800	4349509
Os11g0450400	
Os11g0482400	4350519
Os11g0539500	4350663
Os11g0588600	
Os11g0621400	4350948
Os12g0144200	
Os12g0197500	4351724
Os12g0197700	4351726
Os12g0515400	4352342
Os12g0534200	4352413
Os12g0615400	4352791
