Gene stable ID	Transcript stable ID	NCBI gene ID
TraesCS1D02G130200	TraesCS1D02G130200.1	
TraesCS2A02G029600	TraesCS2A02G029600.1	
TraesCS2A02G319600	TraesCS2A02G319600.1	
TraesCS2A02G465300	TraesCS2A02G465300.1	
TraesCS2A02G466700	TraesCS2A02G466700.2	
TraesCS2A02G466700	TraesCS2A02G466700.3	
TraesCS2A02G466700	TraesCS2A02G466700.1	
TraesCS2A02G467100	TraesCS2A02G467100.1	
TraesCS2A02G510300	TraesCS2A02G510300.1	
TraesCS2B02G013000	TraesCS2B02G013000.2	
TraesCS2B02G013000	TraesCS2B02G013000.1	
TraesCS2B02G058500	TraesCS2B02G058500.1	
TraesCS2D02G009100	TraesCS2D02G009100.2	
TraesCS2D02G009100	TraesCS2D02G009100.1	
TraesCS2D02G009200	TraesCS2D02G009200.1	
TraesCS2D02G029000	TraesCS2D02G029000.1	
TraesCS2D02G042200	TraesCS2D02G042200.1	
TraesCS3D02G011900	TraesCS3D02G011900.1	
TraesCS3D02G474500	TraesCS3D02G474500.1	
TraesCS3D02G504400	TraesCS3D02G504400.1	
TraesCS4A02G232000	TraesCS4A02G232000.1	
TraesCS4A02G459400	TraesCS4A02G459400.1	
TraesCS5A02G497200	TraesCS5A02G497200.3	
TraesCS5A02G497200	TraesCS5A02G497200.2	
TraesCS5A02G497200	TraesCS5A02G497200.1	
TraesCS5A02G548600	TraesCS5A02G548600.1	
TraesCS5A02G548600	TraesCS5A02G548600.2	
TraesCS5B02G535100	TraesCS5B02G535100.1	
TraesCS5B02G550300	TraesCS5B02G550300.1	
TraesCS6B02G071500	TraesCS6B02G071500.1	
TraesCS6B02G072400	TraesCS6B02G072400.1	
TraesCS6B02G072400	TraesCS6B02G072400.2	
TraesCS6B02G125600	TraesCS6B02G125600.2	
TraesCS6B02G125600	TraesCS6B02G125600.1	
TraesCS6B02G142700	TraesCS6B02G142700.3	
TraesCS6B02G142700	TraesCS6B02G142700.1	
TraesCS6B02G142700	TraesCS6B02G142700.2	
TraesCS6B02G148400	TraesCS6B02G148400.1	
TraesCS6B02G305000	TraesCS6B02G305000.1	
TraesCS6B02G389200	TraesCS6B02G389200.1	
TraesCS6B02G404500	TraesCS6B02G404500.1	
TraesCS7A02G415900	TraesCS7A02G415900.1	
TraesCS7D02G041100	TraesCS7D02G041100.1	
TraesCSU02G040100	TraesCSU02G040100.1	
