dpi	gene		gene2	baseMean	log2FoldChange	stat	pvalue	padj
1dpi	TraesCS1A02G594300LC							
1dpi	TraesCS1B02G563000LC							
1dpi	TraesCS1D02G130200							
1dpi	TraesCS2A02G027300LC							
1dpi	TraesCS2A02G029600							
1dpi	TraesCS2A02G319600							
1dpi	TraesCS2A02G465300							
1dpi	TraesCS2A02G466700							
1dpi	TraesCS2A02G467100							
1dpi	TraesCS2A02G510300							
1dpi	TraesCS2A02G514300LC							
1dpi	TraesCS2A02G632600LC							
1dpi	TraesCS2A02G667200LC							
1dpi	TraesCS2A02G705600LC							
1dpi	TraesCS2B02G013000	1420	TraesCS2B02G013000	688.6160338	-1.951475	-8.590940274	8.63E-18	1.93E-15
1dpi	TraesCS2B02G045800LC							
1dpi	TraesCS2B02G058500							
1dpi	TraesCS2D02G009100	1863	TraesCS2D02G009100	116.382601	-1.32934162	-4.754769965	1.99E-06	5.68E-05
1dpi	TraesCS2D02G009200	1864	TraesCS2D02G009200	230.8649021	-2.068429106	-8.316184108	9.08E-17	1.79E-14
1dpi	TraesCS2D02G029000							
1dpi	TraesCS2D02G042200	1909	TraesCS2D02G042200	21.44609112	-1.644789219	-3.682464256	0.00023099	0.003518184
1dpi	TraesCS2D02G735900LC							
1dpi	TraesCS3A02G001100LC							
1dpi	TraesCS3B02G648600LC	3153	TraesCS3B02G648600LC	407.0070793	-0.704346068	-3.099841089	0.001936245	0.02026232
1dpi	TraesCS3B02G833300LC							
1dpi	TraesCS3D02G011900	3174	TraesCS3D02G011900	89.05284426	-0.928310384	-3.187434054	0.001435412	0.015983505
1dpi	TraesCS3D02G474500							
1dpi	TraesCS3D02G504400							
1dpi	TraesCS3D02G514600LC							
1dpi	TraesCS4A02G232000							
1dpi	TraesCS4A02G459400							
1dpi	TraesCS5A02G497200	4946	TraesCS5A02G497200	137.4847049	0.688987524	2.910282404	0.003611023	0.033577133
1dpi	TraesCS5A02G548600							
1dpi	TraesCS5A02G736500LC							
1dpi	TraesCS5B02G535100							
1dpi	TraesCS5B02G550300							
1dpi	TraesCS6B02G071500							
1dpi	TraesCS6B02G072400							
1dpi	TraesCS6B02G125600							
1dpi	TraesCS6B02G142700							
1dpi	TraesCS6B02G148400	6149	TraesCS6B02G148400	558.4994224	-0.724150338	-4.247386068	2.16E-05	0.000456444
1dpi	TraesCS6B02G212700LC							
1dpi	TraesCS6B02G305000	6254	TraesCS6B02G305000	117.7368119	0.741227097	2.982068304	0.002863081	0.027847768
