dpi	gene	isolate_cultivar	gene2	1dpi	3dpi	7dpi	11dpi	Cluster
1dpi	TraesCS1B02G563000LC	1314_SA	TraesCS1B02G563000LC	-1.123180693	1.412996957	-0.73647723	0.446660966	C4:1314_SA
1dpi	TraesCS1D02G130200	1314_SA	TraesCS1D02G130200	1.726777973	-0.553212951	-0.478233365	-0.695331657	C0:1314_SA
1dpi	TraesCS2A02G027300LC	1314_SA	TraesCS2A02G027300LC	1.126313637	-1.553029622	0.551347134	-0.124631149	C10:1314_SA
1dpi	TraesCS2A02G319600	1314_SA	TraesCS2A02G319600	1.506354612	0.273141609	-1.080779581	-0.698716639	C0:1314_SA
1dpi	TraesCS2A02G465300	1314_SA	TraesCS2A02G465300	1.120986173	-1.558706381	0.54903046	-0.111310252	C10:1314_SA
1dpi	TraesCS2A02G466700	1314_SA	TraesCS2A02G466700	-1.684608088	0.891816657	0.23437795	0.558413482	C5:1314_SA
1dpi	TraesCS2A02G510300	1314_SA	TraesCS2A02G510300	-1.719909835	0.657358868	0.380805889	0.681745078	C5:1314_SA
1dpi	TraesCS2A02G514300LC	1314_SA	TraesCS2A02G514300LC	-1.104816823	-0.860354549	1.215201868	0.749969504	C7:1314_SA
1dpi	TraesCS2A02G667200LC	1314_SA	TraesCS2A02G667200LC	1.575355365	0.028009152	-1.142330224	-0.461034292	C0:1314_SA
1dpi	TraesCS2A02G705600LC	1314_SA	TraesCS2A02G705600LC	0.771715646	1.204360566	-1.015714724	-0.960361488	C1:1314_SA
1dpi	TraesCS2B02G045800LC	1314_SA	TraesCS2B02G045800LC	-1.617039392	0.893981747	0.764377468	-0.041319824	C5:1314_SA
1dpi	TraesCS2D02G029000	1314_SA	TraesCS2D02G029000	1.297807606	-1.503290478	-0.028980907	0.234463779	C10:1314_SA
1dpi	TraesCS2D02G735900LC	1314_SA	TraesCS2D02G735900LC	-1.69341704	0.902366093	0.344567823	0.446483124	C5:1314_SA
1dpi	TraesCS3A02G001100LC	1314_SA	TraesCS3A02G001100LC	1.037367048	0.850278683	-0.485951394	-1.401694336	C1:1314_SA
1dpi	TraesCS3D02G011900	1314_SA	TraesCS3D02G011900	1.669561082	-0.579036601	-0.169323026	-0.921201455	C0:1314_SA
1dpi	TraesCS3D02G474500	1314_SA	TraesCS3D02G474500	-0.719946249	-1.120134893	0.403307604	1.436773538	C7:1314_SA
1dpi	TraesCS5A02G497200	1314_SA	TraesCS5A02G497200	1.307266979	-1.504932278	0.040970306	0.156694993	C10:1314_SA
1dpi	TraesCS5A02G736500LC	1314_SA	TraesCS5A02G736500LC	0.835885993	1.093809146	-1.313426465	-0.616268674	C1:1314_SA
1dpi	TraesCS5B02G550300	1314_SA	TraesCS5B02G550300	-1.701118442	0.274339344	0.794274262	0.632504836	C6:1314_SA
1dpi	TraesCS6B02G071500	1314_SA	TraesCS6B02G071500	1.628842798	-0.12975685	-0.428291546	-1.070794402	C0:1314_SA
1dpi	TraesCS6B02G072400	1314_SA	TraesCS6B02G072400	-0.404224401	1.711193286	-0.488656747	-0.818312138	C3:1314_SA
1dpi	TraesCS6B02G125600	1314_SA	TraesCS6B02G125600	1.171783349	-1.561023464	-0.044519646	0.433759761	C10:1314_SA
1dpi	TraesCS6B02G142700	1314_SA	TraesCS6B02G142700	-0.305505981	-1.270163569	0.062581943	1.513087606	C8:1314_SA
1dpi	TraesCS6B02G212700LC	1314_SA	TraesCS6B02G212700LC	1.074442294	0.894651192	-1.215315483	-0.753778003	C1:1314_SA
1dpi	TraesCS7A02G415900	1314_SA	TraesCS7A02G415900	-0.654524628	1.650225128	-0.917757857	-0.077942643	C3:1314_SA
1dpi	TraesCS7A02G587800LC	1314_SA	TraesCS7A02G587800LC	-1.369842819	1.404483554	0.256866256	-0.291506991	C5:1314_SA
3dpi	TraesCS2A02G027300LC	1314_SA	TraesCS2A02G027300LC	1.126313637	-1.553029622	0.551347134	-0.124631149	C10:1314_SA
3dpi	TraesCS2A02G199300	1314_SA	TraesCS2A02G199300	-1.609999734	0.687396255	-0.043568865	0.966172344	C5:1314_SA
3dpi	TraesCS2A02G514300LC	1314_SA	TraesCS2A02G514300LC	-1.104816823	-0.860354549	1.215201868	0.749969504	C7:1314_SA
3dpi	TraesCS2B02G109700	1314_SA	TraesCS2B02G109700	1.549318647	-0.11643607	-1.245344934	-0.187537643	C0:1314_SA
3dpi	TraesCS2B02G456100	1314_SA	TraesCS2B02G456100	1.659773872	-0.696402872	-0.86647888	-0.096892119	C0:1314_SA
3dpi	TraesCS4A02G295100	1314_SA	TraesCS4A02G295100	0.636501296	0.636501296	-1.727249755	0.454247162	C2:1314_SA
3dpi	TraesCS4D02G208300	1314_SA	TraesCS4D02G208300	-1.707357165	0.397987378	0.468522412	0.840847374	C6:1314_SA
3dpi	TraesCS5A02G497200	1314_SA	TraesCS5A02G497200	1.307266979	-1.504932278	0.040970306	0.156694993	C10:1314_SA
3dpi	TraesCS5B02G535400	1314_SA	TraesCS5B02G535400	-1.713039427	0.351861049	0.768014682	0.593163697	C6:1314_SA
3dpi	TraesCS6A02G418400	1314_SA	TraesCS6A02G418400	0.559573541	1.121365346	-1.553434886	-0.127504001	C2:1314_SA
3dpi	TraesCS6B02G700800LC	1314_SA	TraesCS6B02G700800LC	-0.893312421	1.008368652	-1.101215476	0.986159245	C4:1314_SA
3dpi	TraesCS7A02G415900	1314_SA	TraesCS7A02G415900	-0.654524628	1.650225128	-0.917757857	-0.077942643	C3:1314_SA
3dpi	TraesCS7A02G422400	1314_SA	TraesCS7A02G422400	-0.312924967	1.668093486	-0.36032945	-0.994839069	C3:1314_SA
