gene	comparison		gene	baseMean	log2FoldChange	stat	pvalue	padj
TraesCS1B02G097600LC	comparisonCON	394	TraesCS1B02G097600LC	91.75184802	1.065867955	3.524278304	0.000424638	0.005669885
TraesCS1B02G097600LC	comparisonSAvOA	47	TraesCS1B02G097600LC	92.4351229	0.988109571	3.780147524	0.000156735	0.010926116
TraesCS1B02G097600LC	comparisonSAvSO	84	TraesCS1B02G097600LC	91.94367239	1.01627881	3.718728206	0.000200228	0.006511774
TraesCS1B02G097600LC	comparisonSOvOA							
TraesCS1D02G096400	comparisonCON	778	TraesCS1D02G096400	3659.125324	1.118219136	4.747746054	2.06E-06	5.72E-05
TraesCS1D02G096400	comparisonSAvOA	79	TraesCS1D02G096400	2680.843765	3.633939027	13.95799138	2.81E-44	1.56E-40
TraesCS1D02G096400	comparisonSAvSO	178	TraesCS1D02G096400	2616.336473	4.270307285	14.38436158	6.49E-47	2.61E-43
TraesCS1D02G096400	comparisonSOvOA	/Users/rbadgami/Desktop/data2/read_count_data/DESeq2_isolate/LFC/table_LFCisanumber/LFC_F22_3dpi_SOvOA_RES_SOupreg.txt:305	TraesCS1D02G096400LC	7.397052168	2.087083894	4.393465153	1.12E-05	0.000386941
TraesCS2A02G009300	comparisonCON	1103	TraesCS2A02G009300	74.33558839	-1.51938807	-4.447227507	8.70E-06	0.00020661
TraesCS2A02G009300	comparisonSAvOA	93	TraesCS2A02G009300	20.36238701	1.596267522	3.532020979	0.000412397	0.024262332
TraesCS2A02G009300	comparisonSAvSO	223	TraesCS2A02G009300	23.75447818	1.404786318	3.325580206	0.000882347	0.022815244
TraesCS2A02G009300	comparisonSOvOA							
TraesCS2A02G027300LC	comparisonCON	1110	TraesCS2A02G027300LC	46.97316698	2.612604086	5.631495789	1.79E-08	7.68E-07
TraesCS2A02G027300LC	comparisonSAvOA	96	TraesCS2A02G027300LC	57.04529594	1.17426334	3.401505019	0.000670159	0.035354446
TraesCS2A02G027300LC	comparisonSAvSO	225	TraesCS2A02G027300LC	58.47444975	1.127190841	3.26508063	0.001094329	0.027379362
TraesCS2A02G027300LC	comparisonSOvOA							
TraesCS2A02G031600	comparisonCON	1114	TraesCS2A02G031600	51.30502972	-1.477922896	-3.501315083	0.000462968	0.006100392
TraesCS2A02G031600	comparisonSAvOA	100	TraesCS2A02G031600	13.43788265	2.006736773	4.048722888	5.15E-05	0.004367978
TraesCS2A02G031600	comparisonSAvSO	228	TraesCS2A02G031600	12.92317489	2.706508341	4.481072181	7.43E-06	0.000371632
TraesCS2A02G031600	comparisonSOvOA							
TraesCS2A02G199300	comparisonCON	1218	TraesCS2A02G199300	151.1291097	0.970762083	3.666909677	0.000245499	0.00359948
TraesCS2A02G199300	comparisonSAvOA	114	TraesCS2A02G199300	126.2044538	1.729112625	5.491864153	3.98E-08	7.60E-06
TraesCS2A02G199300	comparisonSAvSO	250	TraesCS2A02G199300	112.2149937	2.763515115	8.840061618	9.57E-19	4.08E-16
TraesCS2A02G199300	comparisonSOvOA							
TraesCS2A02G467300	comparisonCON	1426	TraesCS2A02G467300	766.1202868	1.734507846	6.444682281	1.16E-10	7.50E-09
TraesCS2A02G467300	comparisonSAvOA	130	TraesCS2A02G467300	922.9546502	0.798644714	3.513271524	0.000442625	0.025438038
TraesCS2A02G467300	comparisonSAvSO	289	TraesCS2A02G467300	888.5031187	0.954997075	4.030503193	5.57E-05	0.002201903
TraesCS2A02G467300	comparisonSOvOA							
TraesCS2A02G632600LC	comparisonCON	1513	TraesCS2A02G632600LC	50.35351186	1.02878657	2.915294736	0.003553528	0.031090217
TraesCS2A02G632600LC	comparisonSAvOA	150	TraesCS2A02G632600LC	45.72559522	1.369020925	4.128883587	3.65E-05	0.003277165
TraesCS2A02G632600LC	comparisonSAvSO	340	TraesCS2A02G632600LC	39.47397632	2.319027689	6.222261389	4.90E-10	5.99E-08
TraesCS2A02G632600LC	comparisonSOvOA							
TraesCS2B02G109700	comparisonCON	1573	TraesCS2B02G109700	178.6338688	-1.233767273	-4.216732672	2.48E-05	0.000512113
TraesCS2B02G109700	comparisonSAvOA	165	TraesCS2B02G109700	68.06575872	1.536799551	5.223920454	1.75E-07	2.87E-05
TraesCS2B02G109700	comparisonSAvSO	381	TraesCS2B02G109700	61.81403771	2.100266428	5.928308958	3.06E-09	3.20E-07
TraesCS2B02G109700	comparisonSOvOA							
TraesCS2B02G456100	comparisonCON	1870	TraesCS2B02G456100	730.9767923	-0.942451909	-4.869540881	1.12E-06	3.32E-05
TraesCS2B02G456100	comparisonSAvOA	171	TraesCS2B02G456100	400.758943	0.667270209	3.354363824	0.000795477	0.040568762
TraesCS2B02G456100	comparisonSAvSO	399	TraesCS2B02G456100	389.4447245	0.77480163	3.574032429	0.000351525	0.010503852
TraesCS2B02G456100	comparisonSOvOA							
TraesCS2D02G009100	comparisonCON	1985	TraesCS2D02G009100	106.7560907	-1.100924744	-3.904694964	9.43E-05	0.001618618
TraesCS2D02G009100	comparisonSAvOA	180	TraesCS2D02G009100	38.39534359	2.111968673	5.555541211	2.77E-08	5.36E-06
