gene	comparison		gene	baseMean	log2FoldChange	stat	pvalue	padj						
TraesCS1A02G000100	comparisonCON	1	TraesCS1A02G000100	685.7816184	5.057389054	5.939724079	2.86E-09	1.12E-07						
TraesCS1A02G000100	comparisonSAvOA	1	TraesCS1A02G000100	686.8231886	-3.986177985	-5.871834902	4.31E-09	2.85E-07						
TraesCS1A02G000100	comparisonSAvSO													
TraesCS1A02G000100	comparisonSOvOA	1	TraesCS1A02G000100LC	2808.578951	-1.065005762	4.903301357	9.42E-07	4.30E-05						
TraesCS1A02G186500	comparisonCON	231	TraesCS1A02G186500	110.5036584	1.078618323	3.375533529	0.000736727	0.006356159						
TraesCS1A02G186500	comparisonSAvOA	81	TraesCS1A02G186500	94.90075156	-1.864575695	-5.28338359	1.27E-07	5.38E-06						
TraesCS1A02G186500	comparisonSAvSO													
TraesCS1A02G186500	comparisonSOvOA	58	TraesCS1A02G186500	31.35941803	-1.680955434	-3.958320607	7.55E-05	0.002035948						
TraesCS1A02G230400	comparisonCON	291	TraesCS1A02G230400	952.9092093	-1.200818209	-3.396071416	0.000683605	0.005964913						
TraesCS1A02G230400	comparisonSAvOA	95	TraesCS1A02G230400	412.9648672	-1.080756184	-3.457989007	0.000544224	0.006495108						
TraesCS1A02G230400	comparisonSAvSO													
TraesCS1A02G230400	comparisonSOvOA	63	TraesCS1A02G230400	316.8139332	-0.243216659	-3.680309447	0.000232951	0.005374327						
TraesCS1A02G289300	comparisonCON	365	TraesCS1A02G289300	59.89908778	1.434464633	3.970353384	7.18E-05	0.000882942						
TraesCS1A02G289300	comparisonSAvOA	128	TraesCS1A02G289300	64.70373288	-1.055805876	-3.494605037	0.000474764	0.005805808						
TraesCS1A02G289300	comparisonSAvSO	/Users/rbadgami/Desktop/data2/read_count_data/DESeq2_isolate/LFC/table_LFCisanumber/LFC_F22_7dpi_SAvSO_SUS_SOupreg.txt:44	TraesCS1A02G289300	40.32964639	-0.895262295	3.323713465	0.000888274	0.022927647						
TraesCS1A02G289300	comparisonSOvOA	78	TraesCS1A02G289300	35.33684814	-0.137466491	-3.218030647	0.00129074	0.02279155						
TraesCS1A02G290200	comparisonCON	371	TraesCS1A02G290200	14.23933624	4.977041961	5.228038986	1.71E-07	4.40E-06						
TraesCS1A02G290200	comparisonSAvOA	130	TraesCS1A02G290200	18.72757827	-1.42943053	-2.980606458	0.002876782	0.02451328						
TraesCS1A02G290200	comparisonSAvSO													
TraesCS1A02G290200	comparisonSOvOA	81	TraesCS1A02G290200	8.945135815	-2.662971631	-3.257246936	0.001124985	0.020367715						
TraesCS1A02G390500	comparisonCON	494	TraesCS1A02G390500	1994.6122	-1.769503046	-5.276237255	1.32E-07	3.49E-06						
TraesCS1A02G390500	comparisonSAvOA	164	TraesCS1A02G390500	705.2054825	-0.717938488	-3.830178256	0.00012805	0.001978563						
TraesCS1A02G390500	comparisonSAvSO													
TraesCS1A02G390500	comparisonSOvOA	94	TraesCS1A02G390500	920.4007706	-0.012769973	-4.70834647	2.50E-06	0.000102974						
TraesCS1A02G433500	comparisonCON	544	TraesCS1A02G433500	108.1684327	-1.992153703	-6.5163609	7.20E-11	3.95E-09						
TraesCS1A02G433500	comparisonSAvOA	187	TraesCS1A02G433500	29.34782544	-1.253973116	-3.134200646	0.00172323	0.016354524						
TraesCS1A02G433500	comparisonSAvSO													
TraesCS1A02G433500	comparisonSOvOA	99	TraesCS1A02G433500	35.36342743	-0.970126922	-3.899897744	9.62E-05	0.002501967						
TraesCS1B02G107600	comparisonCON	655	TraesCS1B02G107600	26.57101023	2.757977447	5.246718422	1.55E-07	4.02E-06						
TraesCS1B02G107600	comparisonSAvOA	224	TraesCS1B02G107600	30.12232103	-1.671491194	-3.579454719	0.000344312	0.004470067						
TraesCS1B02G107600	comparisonSAvSO													
TraesCS1B02G107600	comparisonSOvOA	135	TraesCS1B02G107600	67.81599943	-0.720942417	-5.011002167	5.41E-07	2.62E-05						
TraesCS1B02G200900	comparisonCON	792	TraesCS1B02G200900	140.0160372	1.048801407	2.891617677	0.00383264	0.024901717						
TraesCS1B02G200900	comparisonSAvOA	268	TraesCS1B02G200900	147.6858841	-0.845713171	-3.312379963	0.000925058	0.009950379						
TraesCS1B02G200900	comparisonSAvSO													
TraesCS1B02G200900	comparisonSOvOA	148	TraesCS1B02G200900	147.0381522	-0.158901414	-3.30216128	0.000959429	0.01785664						
TraesCS1B02G233200	comparisonCON	843	TraesCS1B02G233200	58.25975849	1.293100839	3.09708634	0.001954329	0.01442213						
TraesCS1B02G233200	comparisonSAvOA	281	TraesCS1B02G233200	57.75652836	-1.327317025	-3.451562394	0.000557351	0.006630787						
TraesCS1B02G233200	comparisonSAvSO													
TraesCS1B02G233200	comparisonSOvOA	152	TraesCS1B02G233200	58.96174028	-0.590370742	-3.252709362	0.001143104	0.020646422						
TraesCS1B02G276500	comparisonCON	898	TraesCS1B02G276500	124.3420585	2.801799835	4.482820503	7.37E-06	0.00012184						
TraesCS1B02G276500	comparisonSAvOA	306	TraesCS1B02G276500	124.2913122	-2.998927697	-8.209496878	2.22E-16	7.72E-14						
TraesCS1B02G276500	comparisonSAvSO													
TraesCS1B02G276500	comparisonSOvOA	156	TraesCS1B02G276500	41.27381146	-1.087076487	-4.217497672	2.47E-05	0.000780389						
TraesCS1B02G289900LC	comparisonCON	919	TraesCS1B02G289900LC	18.20206634	1.344484043	2.698221055	0.006971113	0.040094654						
TraesCS1B02G289900LC	comparisonSAvOA	319	TraesCS1B02G289900LC	13.8747073	-3.4708722	-4.654863063	3.24E-06	8.74E-05						
TraesCS1B02G289900LC	comparisonSAvSO													
TraesCS1B02G289900LC	comparisonSOvOA	162	TraesCS1B02G289900LC	16.66682347	-1.058188461	-3.233485691	0.001222895	0.021791562						
TraesCS1B02G290500	comparisonCON	922	TraesCS1B02G290500	339.1551724	1.009883404	4.254171566	2.10E-05	0.000304522						
TraesCS1B02G290500	comparisonSAvOA	320	TraesCS1B02G290500	357.4941988	-0.788707464	-3.328297717	0.000873784	0.009505552						
TraesCS1B02G290500	comparisonSAvSO													
TraesCS1B02G290500	comparisonSOvOA	163	TraesCS1B02G290500	324.5688733	-0.007543073	3.718146675	0.00020069	0.004733792						
TraesCS1B02G302800LC	comparisonCON	935	TraesCS1B02G302800LC	14.79435086	1.745086344	3.0076085	0.002633121	0.01832757						
TraesCS1B02G302800LC	comparisonSAvOA	329	TraesCS1B02G302800LC	14.71374713	-1.687800479	-3.048345828	0.00230105	0.020569773						
TraesCS1B02G302800LC	comparisonSAvSO													
TraesCS1B02G302800LC	comparisonSOvOA	167	TraesCS1B02G302800LC	21.49962724	-1.308282152	-3.020061757	0.002527231	0.039095998						
TraesCS1D02G083900	comparisonCON	1237	TraesCS1D02G083900	883.3066211	-0.72218618	-2.813350069	0.004902824	0.030331768						
TraesCS1D02G083900	comparisonSAvOA	438	TraesCS1D02G083900	509.938549	-0.878812924	-4.077712381	4.55E-05	0.000829356						
TraesCS1D02G083900	comparisonSAvSO													
TraesCS1D02G083900	comparisonSOvOA	257	TraesCS1D02G083900	447.0279603	-0.303550579	-6.381554298	1.75E-10	1.62E-08						
TraesCS1D02G141800	comparisonCON	1327	TraesCS1D02G141800	71.20246735	0.955239958	2.86191016	0.004210963	0.026853473						
TraesCS1D02G141800	comparisonSAvOA	466	TraesCS1D02G141800	73.51042235	-0.830129152	-2.801237937	0.005090697	0.038175417						
TraesCS1D02G141800	comparisonSAvSO													
TraesCS1D02G141800	comparisonSOvOA	268	TraesCS1D02G141800	63.55605914	-0.407489147	-3.213123021	0.001313	0.023101035						
TraesCS1D02G296300	comparisonCON	1536	TraesCS1D02G296300	38.91733214	2.362733412	4.500858633	6.77E-06	0.00011344						
TraesCS1D02G296300	comparisonSAvOA	540	TraesCS1D02G296300	44.68062979	-1.430527293	-3.199134926	0.001378406	0.013657816						
TraesCS1D02G296300	comparisonSAvSO													
TraesCS1D02G296300	comparisonSOvOA	290	TraesCS1D02G296300	49.21388143	-0.453759314	-3.149694258	0.001634414	0.027630457						
TraesCS2A02G022700	comparisonCON	1763	TraesCS2A02G022700	681.6895967	-1.141024032	-4.280287186	1.87E-05	0.000274793						
TraesCS2A02G022700	comparisonSAvOA	639	TraesCS2A02G022700	223.5688847	-3.870491948	-13.06203938	5.43E-39	2.56E-35						
TraesCS2A02G022700	comparisonSAvSO	/Users/rbadgami/Desktop/data2/read_count_data/DESeq2_isolate/LFC/table_LFCisanumber/LFC_F22_7dpi_SAvSO_SUS_SOupreg.txt:200	TraesCS2A02G022700	87.2645001	-1.764184293	-5.72445232	1.04E-08	9.97E-07						
TraesCS2A02G022700	comparisonSOvOA	325	TraesCS2A02G022700	411.57294	-2.01103398	-12.51742887	5.99E-36	4.73E-33						
TraesCS2A02G026600	comparisonCON	1769	TraesCS2A02G026600	126.0790681	-2.049461	-3.55047988	0.00038453	0.003711625						
TraesCS2A02G026600	comparisonSAvOA	644	TraesCS2A02G026600	22.66106504	-3.225690486	-4.409108367	1.04E-05	0.000237193						
TraesCS2A02G026600	comparisonSAvSO	/Users/rbadgami/Desktop/data2/read_count_data/DESeq2_isolate/LFC/table_LFCisanumber/LFC_F22_7dpi_SAvSO_SUS_SOupreg.txt:204	TraesCS2A02G026600	28.84447463	-2.011727807	-4.851930164	1.22E-06	7.46E-05						
TraesCS2A02G026600	comparisonSOvOA	326	TraesCS2A02G026600	108.7723845	-1.117319302	-6.597285373	4.19E-11	4.35E-09						
TraesCS2A02G101400	comparisonCON	1843	TraesCS2A02G101400	165.9623671	4.131606221	10.40740043	2.29E-25	7.71E-23						
TraesCS2A02G101400	comparisonSAvOA	737	TraesCS2A02G101400	192.3933542	-2.132705478	-7.21645895	5.34E-13	9.42E-11						
TraesCS2A02G101400	comparisonSAvSO	/Users/rbadgami/Desktop/data2/read_count_data/DESeq2_isolate/LFC/table_LFCisanumber/LFC_F22_7dpi_SAvSO_SUS_SOupreg.txt:293	TraesCS2A02G101400	29.1387511	-0.774746216	3.21287193	0.001314149	0.031731156						
TraesCS2A02G101400	comparisonSOvOA	330	TraesCS2A02G101400	30.16300999	-1.219680716	-3.44359125	0.000574043	0.011542846						
TraesCS2A02G112300	comparisonCON	1858	TraesCS2A02G112300	741.2702106	0.716689864	3.29022865	0.00100106	0.008232083						
TraesCS2A02G112300	comparisonSAvOA	746	TraesCS2A02G112300	711.5329866	-0.872897883	-4.274324467	1.92E-05	0.000398239						
TraesCS2A02G112300	comparisonSAvSO	/Users/rbadgami/Desktop/data2/read_count_data/DESeq2_isolate/LFC/table_LFCisanumber/LFC_F22_7dpi_SAvSO_SUS_SOupreg.txt:296	TraesCS2A02G112300	371.9867302	-0.133819553	3.155732616	0.001600955	0.037253655						
TraesCS2A02G112300	comparisonSOvOA	336	TraesCS2A02G112300	370.3353916	-0.726612334	-3.902055886	9.54E-05	0.002485728						
TraesCS2A02G274700	comparisonCON	2050	TraesCS2A02G274700	348.0083221	3.878824906	8.124771144	4.48E-16	5.74E-14						
TraesCS2A02G274700	comparisonSAvOA	838	TraesCS2A02G274700	344.555674	-3.943830262	-8.151151099	3.60E-16	1.16E-13						
TraesCS2A02G274700	comparisonSAvSO	/Users/rbadgami/Desktop/data2/read_count_data/DESeq2_isolate/LFC/table_LFCisanumber/LFC_F22_7dpi_SAvSO_SUS_SOupreg.txt:314	TraesCS2A02G274700	29.6151339	-1.333110766	3.638500999	0.00027423	0.008532161						
TraesCS2A02G274700	comparisonSOvOA	359	TraesCS2A02G274700	22.67835646	-1.141133142	-3.306058828	0.000946182	0.017628877						
TraesCS2A02G569300	comparisonCON	2436	TraesCS2A02G569300	72.13082221	1.894893699	4.214642463	2.50E-05	0.000354727						
TraesCS2A02G569300	comparisonSAvOA	953	TraesCS2A02G569300	77.85913212	-1.408323384	-3.238266316	0.001202585	0.012249979						
TraesCS2A02G569300	comparisonSAvSO													
TraesCS2A02G569300	comparisonSOvOA	459	TraesCS2A02G569300	24.07767531	-2.094436754	-4.30046664	1.70E-05	0.00056015						
TraesCS2B02G025000LC	comparisonCON	2503	TraesCS2B02G025000LC	29.55064069	1.984506967	4.507183385	6.57E-06	0.000110545						
TraesCS2B02G025000LC	comparisonSAvOA	964	TraesCS2B02G025000LC	25.60240962	-3.275856086	-6.10622391	1.02E-09	8.15E-08						
TraesCS2B02G025000LC	comparisonSAvSO													
TraesCS2B02G025000LC	comparisonSOvOA	480	TraesCS2B02G025000LC	34.1566064	-0.944571765	-3.886539194	0.000101684	0.002627874						
TraesCS2B02G471800	comparisonCON	3018	TraesCS2B02G471800	277.2639	1.102898	3.375314	0.000737315	0.00635954						
TraesCS2B02G471800	comparisonSAvOA	1119	TraesCS2B02G471800	249.9849384	-1.632908472	-5.981768989	2.21E-09	1.59E-07						
TraesCS2B02G471800	comparisonSAvSO													
TraesCS2B02G471800	comparisonSOvOA	533	TraesCS2B02G471800	233.8751309	-0.612314969	-7.095414885	1.29E-12	1.65E-10						
TraesCS2B02G586400	comparisonCON	3141	TraesCS2B02G586400	653.5298	2.311406	7.922293	2.33E-15	2.69E-13						
TraesCS2B02G586400	comparisonSAvOA	1147	TraesCS2B02G586400	904.7981309	-0.603318662	-2.728894039	0.006354712	0.045142745						
TraesCS2B02G586400	comparisonSAvSO													
TraesCS2B02G586400	comparisonSOvOA	577	TraesCS2B02G586400	434.1064121	-0.669073204	-3.515655504	0.00043867	0.009245124						
TraesCS2D02G162400LC	comparisonCON	3397	TraesCS2D02G162400LC	150.4284	-0.7414944	-2.686065	0.007229896	0.04124052						
TraesCS2D02G162400LC	comparisonSAvOA	1226	TraesCS2D02G162400LC	87.53768928	-0.790700006	-2.836576212	0.004560009	0.03510346						
TraesCS2D02G162400LC	comparisonSAvSO													
TraesCS2D02G162400LC	comparisonSOvOA	645	TraesCS2D02G162400LC	98.53202536	-1.283217142	-6.767907128	1.31E-11	1.45E-09						
TraesCS2D02G177700	comparisonCON	3421	TraesCS2D02G177700	670.9446	1.596109	6.33681	2.35E-10	1.16E-08						
TraesCS2D02G177700	comparisonSAvOA	1236	TraesCS2D02G177700	813.6461052	-0.711653314	-3.622926029	0.000291289	0.003896412						
