GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_bonferroni	p_sidak	p_holm	p_fdr_bh	study_items
GO:0031425	BP	e	chloroplast RNA processing    	2/39	34/269428	1.14e-05	8	2	0.0734	0.0715	0.0734	0.0734	TraesCS2A02G009300, TraesCS2D02G010200
GO:1900458	BP	e	negative regulation of brassinosteroid mediated signaling pathway	1/39	13/269428	0.00188	7	1	1	1	1	1	TraesCS2A02G199300
GO:1900457	BP	e	regulation of brassinosteroid mediated signaling pathway	1/39	25/269428	0.00361	6	1	1	1	1	1	TraesCS2A02G199300
GO:0008150	BP	e	biological_process            	14/39	44718/269428	0.00369	0	14	1	1	1	1	TraesCS1D02G096400, TraesCS2A02G009300, TraesCS2A02G031600, TraesCS2A02G199300, TraesCS2A02G467300, TraesCS2B02G109700, TraesCS2D02G009100, TraesCS2D02G010200, TraesCS5A02G332300, TraesCS5B02G535400, TraesCS5B02G561300, TraesCS6A02G149700, TraesCS7B02G190700, TraesCSU02G039800
GO:0009691	BP	e	cytokinin biosynthetic process	1/39	35/269428	0.00505	7	1	1	1	1	1	TraesCS5B02G561300
GO:0006012	BP	e	galactose metabolic process   	1/39	38/269428	0.00549	6	1	1	1	1	1	TraesCS2B02G109700
GO:0009738	BP	e	abscisic acid-activated signaling pathway	1/39	43/269428	0.00621	6	1	1	1	1	1	TraesCS2A02G199300
GO:0006541	BP	e	glutamine metabolic process   	1/39	69/269428	0.00994	9	1	1	1	1	1	TraesCS6A02G149700
GO:0009690	BP	e	cytokinin metabolic process   	1/39	74/269428	0.0107	6	1	1	1	1	1	TraesCS5B02G561300
GO:0006396	BP	e	RNA processing                	2/39	1110/269428	0.0114	7	2	1	1	1	1	TraesCS2A02G009300, TraesCS2D02G010200
GO:0010648	BP	e	negative regulation of cell communication	1/39	81/269428	0.0117	5	1	1	1	1	1	TraesCS2A02G199300
GO:0023057	BP	e	negative regulation of signaling	1/39	81/269428	0.0117	4	1	1	1	1	1	TraesCS2A02G199300
GO:0034754	BP	e	cellular hormone metabolic process	1/39	81/269428	0.0117	5	1	1	1	1	1	TraesCS5B02G561300
GO:0009968	BP	e	negative regulation of signal transduction	1/39	81/269428	0.0117	6	1	1	1	1	1	TraesCS2A02G199300
GO:0042446	BP	e	hormone biosynthetic process  	1/39	95/269428	0.0137	5	1	1	1	1	1	TraesCS5B02G561300
GO:0048585	BP	e	negative regulation of response to stimulus	1/39	158/269428	0.0226	4	1	1	1	1	1	TraesCS2A02G199300
GO:0042445	BP	e	hormone metabolic process     	1/39	159/269428	0.0228	4	1	1	1	1	1	TraesCS5B02G561300
GO:0009064	BP	e	glutamine family amino acid metabolic process	1/39	160/269428	0.0229	8	1	1	1	1	1	TraesCS6A02G149700
GO:0006887	BP	e	exocytosis                    	1/39	163/269428	0.0233	6	1	1	1	1	1	TraesCS2A02G031600
