GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_bonferroni	p_sidak	p_holm	p_fdr_bh	study_items
GO:0008150	BP	e	biological_process            	88/180	44718/269428	1.35e-23	0	88	8.7e-20	8.48e-20	8.7e-20	2.9e-20	TraesCS1A02G433500, TraesCS1B02G107600, TraesCS1B02G233200, TraesCS1B02G276500, TraesCS1D02G141800, TraesCS2A02G022700, TraesCS2A02G026600, TraesCS2A02G101400, TraesCS2A02G569300, TraesCS2D02G177700, TraesCS2D02G493600, TraesCS2D02G525900, TraesCS2D02G571100, TraesCS2D02G572300, TraesCS2D02G572600, TraesCS2D02G572700, TraesCS3A02G035300, TraesCS3A02G040800, TraesCS3A02G056000, TraesCS3A02G124700, TraesCS3A02G283600, TraesCS3A02G305400, TraesCS3A02G313200, TraesCS3A02G339600, TraesCS3A02G510100, TraesCS3A02G537600, TraesCS3B02G039700, TraesCS3D02G022200, TraesCS3D02G192800, TraesCS3D02G312000, TraesCS3D02G356300, TraesCS3D02G438600, TraesCS3D02G493700, TraesCS4A02G130300, TraesCS4A02G187300, TraesCS4A02G357200, TraesCS4B02G062500, TraesCS4B02G311100, TraesCS4D02G026800, TraesCS4D02G035200, TraesCS4D02G186700, TraesCS4D02G263500, TraesCS5A02G065500, TraesCS5A02G321300, TraesCS5A02G375000, TraesCS5A02G533500, TraesCS5B02G042800, TraesCS5B02G145900, TraesCS5B02G197300, TraesCS5B02G224900, TraesCS5B02G376900, TraesCS5B02G394200, TraesCS5B02G428400, TraesCS5D02G233800, TraesCS5D02G540800, TraesCS5D02G565100, TraesCS6A02G018000, TraesCS6A02G058500, TraesCS6A02G101800, TraesCS6A02G173700, TraesCS6A02G385000, TraesCS6B02G058300, TraesCS6B02G128000, TraesCS6B02G129800, TraesCS6B02G152700, TraesCS6B02G158300, TraesCS6B02G353200, TraesCS6B02G432600, TraesCS6D02G048300, TraesCS6D02G090200, TraesCS6D02G310500, TraesCS6D02G375700, TraesCS7A02G040400, TraesCS7A02G118900, TraesCS7A02G141000, TraesCS7A02G246700, TraesCS7A02G345500, TraesCS7A02G347800, TraesCS7A02G427100, TraesCS7A02G442500, TraesCS7A02G523800, TraesCS7A02G536900, TraesCS7B02G044200, TraesCS7B02G333700, TraesCS7B02G446900, TraesCS7D02G073400, TraesCS7D02G114200, TraesCS7D02G449400
GO:0008152	BP	e	metabolic process             	65/180	31891/269428	3.08e-17	1	65	1.98e-13	1.93e-13	1.98e-13	3.3e-14	TraesCS1A02G433500, TraesCS1B02G107600, TraesCS1B02G233200, TraesCS1D02G141800, TraesCS2A02G022700, TraesCS2A02G026600, TraesCS2A02G101400, TraesCS2D02G177700, TraesCS2D02G493600, TraesCS2D02G571100, TraesCS2D02G572300, TraesCS2D02G572600, TraesCS3A02G035300, TraesCS3A02G040800, TraesCS3A02G056000, TraesCS3A02G124700, TraesCS3A02G283600, TraesCS3A02G305400, TraesCS3A02G339600, TraesCS3B02G039700, TraesCS3D02G022200, TraesCS3D02G192800, TraesCS3D02G312000, TraesCS3D02G438600, TraesCS3D02G493700, TraesCS4A02G187300, TraesCS4A02G357200, TraesCS4B02G062500, TraesCS4B02G311100, TraesCS4D02G035200, TraesCS4D02G186700, TraesCS4D02G263500, TraesCS5A02G065500, TraesCS5A02G321300, TraesCS5A02G375000, TraesCS5B02G042800, TraesCS5B02G224900, TraesCS5B02G376900, TraesCS5B02G394200, TraesCS5B02G428400, TraesCS5D02G233800, TraesCS5D02G540800, TraesCS5D02G565100, TraesCS6A02G018000, TraesCS6A02G058500, TraesCS6A02G173700, TraesCS6A02G385000, TraesCS6B02G152700, TraesCS6B02G158300, TraesCS6B02G353200, TraesCS6B02G432600, TraesCS6D02G048300, TraesCS6D02G310500, TraesCS6D02G375700, TraesCS7A02G040400, TraesCS7A02G141000, TraesCS7A02G246700, TraesCS7A02G347800, TraesCS7A02G427100, TraesCS7A02G442500, TraesCS7A02G523800, TraesCS7A02G536900, TraesCS7B02G044200, TraesCS7B02G333700, TraesCS7D02G073400
GO:0009987	BP	e	cellular process              	49/180	25125/269428	4.57e-12	1	49	2.94e-08	2.86e-08	2.93e-08	1.63e-09	TraesCS1A02G433500, TraesCS1B02G107600, TraesCS1B02G233200, TraesCS1D02G141800, TraesCS2A02G101400, TraesCS2A02G569300, TraesCS2D02G493600, TraesCS2D02G525900, TraesCS2D02G571100, TraesCS2D02G572300, TraesCS2D02G572600, TraesCS3A02G056000, TraesCS3A02G305400, TraesCS3A02G313200, TraesCS3A02G339600, TraesCS3B02G039700, TraesCS3D02G022200, TraesCS3D02G192800, TraesCS3D02G312000, TraesCS3D02G438600, TraesCS3D02G493700, TraesCS4A02G130300, TraesCS4A02G187300, TraesCS4A02G357200, TraesCS4B02G311100, TraesCS4D02G263500, TraesCS5A02G375000, TraesCS5B02G042800, TraesCS5B02G376900, TraesCS5B02G428400, TraesCS6A02G058500, TraesCS6A02G101800, TraesCS6A02G173700, TraesCS6A02G385000, TraesCS6B02G058300, TraesCS6B02G129800, TraesCS6B02G152700, TraesCS6D02G048300, TraesCS6D02G090200, TraesCS6D02G375700, TraesCS7A02G040400, TraesCS7A02G347800, TraesCS7A02G427100, TraesCS7A02G442500, TraesCS7A02G536900, TraesCS7B02G044200, TraesCS7B02G333700, TraesCS7B02G446900, TraesCS7D02G073400
GO:0071704	BP	e	organic substance metabolic process	43/180	23181/269428	6.33e-10	2	43	4.07e-06	3.97e-06	4.05e-06	1.77e-07	TraesCS1A02G433500, TraesCS1B02G107600, TraesCS1B02G233200, TraesCS1D02G141800, TraesCS2A02G022700, TraesCS2A02G101400, TraesCS2D02G493600, TraesCS2D02G571100, TraesCS2D02G572300, TraesCS2D02G572600, TraesCS3A02G040800, TraesCS3A02G056000, TraesCS3A02G283600, TraesCS3A02G305400, TraesCS3A02G339600, TraesCS3B02G039700, TraesCS3D02G022200, TraesCS3D02G192800, TraesCS3D02G438600, TraesCS3D02G493700, TraesCS4A02G187300, TraesCS4B02G062500, TraesCS4B02G311100, TraesCS4D02G263500, TraesCS5A02G321300, TraesCS5A02G375000, TraesCS5B02G042800, TraesCS5B02G376900, TraesCS5B02G394200, TraesCS5B02G428400, TraesCS5D02G540800, TraesCS6A02G058500, TraesCS6A02G173700, TraesCS6A02G385000, TraesCS6B02G152700, TraesCS6D02G375700, TraesCS7A02G347800, TraesCS7A02G427100, TraesCS7A02G442500, TraesCS7A02G536900, TraesCS7B02G044200, TraesCS7B02G333700, TraesCS7D02G073400
GO:1901564	BP	e	organonitrogen compound metabolic process	32/180	13885/269428	9.4e-10	3	32	6.04e-06	5.89e-06	6.02e-06	2.52e-07	TraesCS1A02G433500, TraesCS1B02G233200, TraesCS1D02G141800, TraesCS2A02G022700, TraesCS2D02G493600, TraesCS2D02G571100, TraesCS2D02G572300, TraesCS2D02G572600, TraesCS3A02G040800, TraesCS3A02G283600, TraesCS3A02G305400, TraesCS3D02G022200, TraesCS3D02G192800, TraesCS3D02G438600, TraesCS3D02G493700, TraesCS4A02G187300, TraesCS4B02G062500, TraesCS4B02G311100, TraesCS4D02G263500, TraesCS5A02G321300, TraesCS5A02G375000, TraesCS5B02G042800, TraesCS5B02G376900, TraesCS5B02G428400, TraesCS6A02G058500, TraesCS6A02G385000, TraesCS6B02G152700, TraesCS6D02G375700, TraesCS7A02G347800, TraesCS7A02G442500, TraesCS7A02G536900, TraesCS7B02G333700
GO:0044237	BP	e	cellular metabolic process    	40/180	21154/269428	1.69e-09	2	40	1.09e-05	1.06e-05	1.08e-05	4.35e-07	TraesCS1A02G433500, TraesCS1B02G107600, TraesCS1B02G233200, TraesCS1D02G141800, TraesCS2A02G101400, TraesCS2D02G493600, TraesCS2D02G571100, TraesCS2D02G572300, TraesCS2D02G572600, TraesCS3A02G056000, TraesCS3A02G305400, TraesCS3A02G339600, TraesCS3B02G039700, TraesCS3D02G022200, TraesCS3D02G192800, TraesCS3D02G312000, TraesCS3D02G438600, TraesCS3D02G493700, TraesCS4A02G187300, TraesCS4A02G357200, TraesCS4B02G311100, TraesCS4D02G263500, TraesCS5A02G375000, TraesCS5B02G042800, TraesCS5B02G376900, TraesCS5B02G428400, TraesCS6A02G058500, TraesCS6A02G173700, TraesCS6A02G385000, TraesCS6B02G152700, TraesCS6D02G048300, TraesCS6D02G375700, TraesCS7A02G040400, TraesCS7A02G347800, TraesCS7A02G427100, TraesCS7A02G442500, TraesCS7A02G536900, TraesCS7B02G044200, TraesCS7B02G333700, TraesCS7D02G073400
GO:0006807	BP	e	nitrogen compound metabolic process	37/180	18840/269428	2.9e-09	2	37	1.87e-05	1.82e-05	1.86e-05	7.18e-07	TraesCS1A02G433500, TraesCS1B02G233200, TraesCS1D02G141800, TraesCS2A02G022700, TraesCS2A02G101400, TraesCS2D02G493600, TraesCS2D02G571100, TraesCS2D02G572300, TraesCS2D02G572600, TraesCS3A02G040800, TraesCS3A02G056000, TraesCS3A02G283600, TraesCS3A02G305400, TraesCS3A02G339600, TraesCS3B02G039700, TraesCS3D02G022200, TraesCS3D02G192800, TraesCS3D02G438600, TraesCS3D02G493700, TraesCS4A02G187300, TraesCS4B02G062500, TraesCS4B02G311100, TraesCS4D02G263500, TraesCS5A02G321300, TraesCS5A02G375000, TraesCS5B02G042800, TraesCS5B02G376900, TraesCS5B02G428400, TraesCS6A02G058500, TraesCS6A02G385000, TraesCS6B02G152700, TraesCS6D02G375700, TraesCS7A02G347800, TraesCS7A02G442500, TraesCS7A02G536900, TraesCS7B02G333700, TraesCS7D02G073400
GO:0044238	BP	e	primary metabolic process     	39/180	22088/269428	1.85e-08	2	39	0.000119	0.000116	0.000118	3.84e-06	TraesCS1A02G433500, TraesCS1B02G107600, TraesCS1B02G233200, TraesCS1D02G141800, TraesCS2A02G022700, TraesCS2A02G101400, TraesCS2D02G493600, TraesCS2D02G571100, TraesCS2D02G572300, TraesCS2D02G572600, TraesCS3A02G040800, TraesCS3A02G056000, TraesCS3A02G283600, TraesCS3A02G305400, TraesCS3A02G339600, TraesCS3B02G039700, TraesCS3D02G022200, TraesCS3D02G192800, TraesCS3D02G438600, TraesCS3D02G493700, TraesCS4A02G187300, TraesCS4B02G062500, TraesCS4D02G263500, TraesCS5A02G321300, TraesCS5A02G375000, TraesCS5B02G042800, TraesCS5B02G376900, TraesCS5B02G394200, TraesCS5B02G428400, TraesCS5D02G540800, TraesCS6A02G058500, TraesCS6A02G385000, TraesCS6B02G152700, TraesCS6D02G375700, TraesCS7A02G347800, TraesCS7A02G427100, TraesCS7B02G044200, TraesCS7B02G333700, TraesCS7D02G073400
GO:0006520	BP	e	cellular amino acid metabolic process	9/180	1042/269428	4.63e-08	6	9	0.000297	0.00029	0.000296	9.29e-06	TraesCS1B02G233200, TraesCS1D02G141800, TraesCS2D02G493600, TraesCS3A02G305400, TraesCS3D02G022200, TraesCS4D02G263500, TraesCS5A02G375000, TraesCS5B02G042800, TraesCS5B02G376900
GO:0019752	BP	e	carboxylic acid metabolic process	11/180	1898/269428	8.21e-08	5	11	0.000528	0.000514	0.000525	1.43e-05	TraesCS1B02G233200, TraesCS1D02G141800, TraesCS2D02G493600, TraesCS3A02G305400, TraesCS3D02G022200, TraesCS3D02G192800, TraesCS4D02G263500, TraesCS5A02G375000, TraesCS5B02G042800, TraesCS5B02G376900, TraesCS7B02G044200
