,sample,isolate,timepoint,condition,replicate,RNA_dilution,fastp_date,bootstraps_present,bootstraps_used,condition,reads_mapped,reads_proc,frac_mapped,percent_mapped
37,CON-0-OA1,CON,0,OA,1,21/11/2017,28/01/2019,100,100,OA,21442518,24333221,0.8812,88.12
38,CON-0-OA2,CON,0,OA,2,21/11/2017,28/01/2019,100,100,OA,18263490,20588923,0.8871,88.71
39,CON-0-OA3,CON,0,OA,3,18/12/2017,30/01/2019,100,100,OA,22394053,26301100,0.8514,85.14
40,CON-0-SA1,CON,0,SA,1,21/11/2017,30/01/2019,100,100,SA,20589922,23061189,0.8928,89.28
41,CON-0-SA2,CON,0,SA,2,21/11/2017,30/01/2019,100,100,SA,14792533,16375504,0.9033,90.33
42,CON-0-SA3,CON,0,SA,3,18/12/2017,16/01/2019,100,100,SA,18884996,22081980,0.8552,85.52
43,CON-0-SO1,CON,0,SO,1,21/11/2017,16/01/2019,100,100,SO,14484148,16817425,0.8613,86.13
44,CON-0-SO2,CON,0,SO,2,18/12/2017,16/01/2019,100,100,SO,18990354,21878635,0.868,86.8
45,CON-0-SO3,CON,0,SO,3,18/12/2017,16/01/2019,100,100,SO,22744311,26475146,0.8591,85.91
1,1314-1-OA1,1314,1,OA,1,18/12/2017,16/01/2019,100,100,OA,19598389,23649708,0.8287,82.87
2,1314-1-OA2,1314,1,OA,2,18/12/2017,16/01/2019,100,100,OA,20276391,24445221,0.8295,82.95
3,1314-1-OA3,1314,1,OA,3,18/12/2017,16/01/2019,100,100,OA,23034712,27455857,0.839,83.9
46,F22-1-OA1,F22,1,OA,1,21/11/2017,21/01/2019,100,100,OA,16922501,19407126,0.872,87.2
47,F22-1-OA2,F22,1,OA,2,21/11/2017,21/01/2019,100,100,OA,18087046,20724304,0.8727,87.27
48,F22-1-OA3,F22,1,OA,3,21/11/2017,16/01/2019,100,100,OA,14477686,16593740,0.8725,87.25
4,1314-1-SA1,1314,1,SA,1,18/12/2017,16/01/2019,100,100,SA,20382207,24291899,0.8391,83.91
5,1314-1-SA2,1314,1,SA,2,18/12/2017,16/01/2019,100,100,SA,19376149,23160913,0.8366,83.66
6,1314-1-SA3,1314,1,SA,3,18/12/2017,30/01/2019,100,100,SA,19860156,23836709,0.8332,83.32
49,F22-1-SA1,F22,1,SA,1,21/11/2017,30/01/2019,100,100,SA,19748766,23095178,0.8551,85.51
50,F22-1-SA2,F22,1,SA,2,21/11/2017,28/01/2019,100,100,SA,17390738,20179196,0.8618,86.18
51,F22-1-SA3,F22,1,SA,3,21/11/2017,29/01/2019,100,100,SA,17595645,20242108,0.8693,86.93
7,1314-1-SO1,1314,1,SO,1,18/12/2017,30/01/2019,100,100,SO,16789715,19894430,0.8439,84.39
8,1314-1-SO2,1314,1,SO,2,18/12/2017,28/01/2019,100,100,SO,17560409,20877870,0.8411,84.11
9,1314-1-SO3,1314,1,SO,3,18/12/2017,28/01/2019,100,100,SO,17155671,20628279,0.8317,83.17
52,F22-1-SO1,F22,1,SO,1,21/11/2017,30/01/2019,100,100,SO,16331187,19149645,0.8528,85.28
53,F22-1-SO2,F22,1,SO,2,21/11/2017,28/01/2019,100,100,SO,16290736,19184429,0.8492,84.92
54,F22-1-SO3,F22,1,SO,3,21/11/2017,28/01/2019,100,100,SO,16666840,20099265,0.8292,82.92
19,1314-3-OA1,1314,3,OA,1,18/12/2017,16/01/2019,100,100,OA,12327891,14658839,0.841,84.1
20,1314-3-OA2,1314,3,OA,2,18/12/2017,30/01/2019,100,100,OA,10564977,12370724,0.854,85.4
21,1314-3-OA3,1314,3,OA,3,18/12/2017,30/01/2019,100,100,OA,21190813,24528297,0.8639,86.39
64,F22-3-OA1,F22,3,OA,1,21/11/2017,01/02/2019,100,100,OA,13558650,15361707,0.8826,88.26
65,F22-3-OA2,F22,3,OA,2,21/11/2017,16/01/2019,100,100,OA,21591760,24610076,0.8774,87.74
66,F22-3-OA3,F22,3,OA,3,21/11/2017,30/01/2019,100,100,OA,13831768,16102587,0.859,85.9
22,1314-3-SA1,1314,3,SA,1,18/12/2017,30/01/2019,100,100,SA,20122322,23726077,0.8481,84.81
23,1314-3-SA2,1314,3,SA,2,18/12/2017,28/01/2019,100,100,SA,18497377,21235480,0.8711,87.11
24,1314-3-SA3,1314,3,SA,3,18/12/2017,29/01/2019,100,100,SA,18802284,22355016,0.8411,84.11
67,F22-3-SA1,F22,3,SA,1,21/11/2017,30/01/2019,100,100,SA,15671571,18981510,0.8256,82.56
68,F22-3-SA2,F22,3,SA,2,21/11/2017,16/01/2019,100,100,SA,10726240,12126726,0.8845,88.45
69,F22-3-SA3,F22,3,SA,3,21/11/2017,16/01/2019,100,100,SA,20039378,22692254,0.8831,88.31
25,1314-3-SO1,1314,3,SO,1,18/12/2017,16/01/2019,100,100,SO,19422859,22957596,0.846,84.6
26,1314-3-SO2,1314,3,SO,2,18/12/2017,16/01/2019,100,100,SO,19717761,23041571,0.8557,85.57
27,1314-3-SO3,1314,3,SO,3,18/12/2017,16/01/2019,100,100,SO,22213786,26284121,0.8451,84.51
70,F22-3-SO1,F22,3,SO,1,21/11/2017,16/01/2019,100,100,SO,17358815,19829552,0.8754,87.54
71,F22-3-SO2,F22,3,SO,2,21/11/2017,16/01/2019,100,100,SO,18840381,21600292,0.8722,87.22
72,F22-3-SO3,F22,3,SO,3,21/11/2017,16/01/2019,100,100,SO,16805710,19041463,0.8826,88.26
28,1314-7-OA1,1314,7,OA,1,18/12/2017,16/01/2019,100,100,OA,17636932,24080246,0.7324,73.24
29,1314-7-OA2,1314,7,OA,2,18/12/2017,16/01/2019,100,100,OA,11713096,14945405,0.7837,78.37
30,1314-7-OA3,1314,7,OA,3,18/12/2017,16/01/2019,100,100,OA,10768924,19693138,0.5468,54.68
73,F22-7-OA1,F22,7,OA,1,21/11/2017,16/01/2019,100,100,OA,13805444,17930692,0.7699,76.99
74,F22-7-OA2,F22,7,OA,2,21/11/2017,16/01/2019,100,100,OA,14009369,18813152,0.7447,74.47
75,F22-7-OA3,F22,7,OA,3,21/11/2017,16/01/2019,100,100,OA,15342864,19154938,0.801,80.1
31,1314-7-SA1,1314,7,SA,1,18/12/2017,28/01/2019,100,100,SA,7799143,17288704,0.4511,45.11
32,1314-7-SA2,1314,7,SA,2,18/12/2017,30/01/2019,100,100,SA,19187987,22794964,0.8418,84.18
33,1314-7-SA3,1314,7,SA,3,18/12/2017,01/02/2019,100,100,SA,16045093,24577037,0.6528,65.28
76,F22-7-SA1,F22,7,SA,1,21/11/2017,16/01/2019,100,100,SA,15533068,18129618,0.8568,85.68
77,F22-7-SA2,F22,7,SA,2,21/11/2017,16/01/2019,100,100,SA,17351775,19835288,0.8748,87.48
78,F22-7-SA3,F22,7,SA,3,21/11/2017,28/01/2019,100,100,SA,16675002,19159450,0.8703,87.03
34,1314-7-SO1,1314,7,SO,1,18/12/2017,16/01/2019,100,100,SO,6671783,22196369,0.3006,30.06
35,1314-7-SO2,1314,7,SO,2,18/12/2017,30/01/2019,100,100,SO,13765121,16832688,0.8178,81.78
36,1314-7-SO3,1314,7,SO,3,18/12/2017,30/01/2019,100,100,SO,19611172,23256700,0.8432,84.32
79,F22-7-SO1,F22,7,SO,1,21/11/2017,01/02/2019,100,100,SO,15566652,17659932,0.8815,88.15
80,F22-7-SO2,F22,7,SO,2,21/11/2017,28/01/2019,100,100,SO,15471588,20330051,0.761,76.1
81,F22-7-SO3,F22,7,SO,3,21/11/2017,01/02/2019,100,100,SO,18768168,21829445,0.8598,85.98
10,1314-11-OA1,1314,11,OA,1,18/12/2017,16/01/2019,100,100,OA,10812807,24869308,0.4348,43.48
11,1314-11-OA2,1314,11,OA,2,18/12/2017,30/01/2019,100,100,OA,5970181,16922364,0.3528,35.28
12,1314-11-OA3,1314,11,OA,3,18/12/2017,16/01/2019,100,100,OA,3443182,14314803,0.2405,24.05
55,F22-11-OA1,F22,11,OA,1,21/11/2017,16/01/2019,100,100,OA,5682745,15524999,0.366,36.6
56,F22-11-OA2,F22,11,OA,2,21/11/2017,16/01/2019,100,100,OA,15435320,21149495,0.7298,72.98
57,F22-11-OA3,F22,11,OA,3,21/11/2017,01/02/2019,100,100,OA,5087615,18421405,0.2762,27.62
13,1314-11-SA1,1314,11,SA,1,18/12/2017,16/01/2019,100,100,SA,11984928,25709060,0.4662,46.62
14,1314-11-SA2,1314,11,SA,2,18/12/2017,16/01/2019,100,100,SA,8693443,22831684,0.3808,38.08
15,1314-11-SA3,1314,11,SA,3,18/12/2017,16/01/2019,100,100,SA,8659204,23231166,0.3727,37.27
58,F22-11-SA1,F22,11,SA,1,21/11/2017,16/01/2019,100,100,SA,15550272,17733210,0.8769,87.69
59,F22-11-SA2,F22,11,SA,2,21/11/2017,30/01/2019,100,100,SA,15988178,18593413,0.8599,85.99
60,F22-11-SA3,F22,11,SA,3,21/11/2017,21/01/2019,100,100,SA,15667680,17919328,0.8743,87.43
16,1314-11-SO1,1314,11,SO,1,18/12/2017,16/01/2019,100,100,SO,4364349,24204230,0.1803,18.03
17,1314-11-SO2,1314,11,SO,2,18/12/2017,16/01/2019,100,100,SO,5365978,22330898,0.2403,24.03
18,1314-11-SO3,1314,11,SO,3,18/12/2017,16/01/2019,100,100,SO,11694178,26846853,0.4356,43.56
61,F22-11-SO1,F22,11,SO,1,21/11/2017,21/01/2019,100,100,SO,18897869,21548780,0.877,87.7
62,F22-11-SO2,F22,11,SO,2,21/11/2017,21/01/2019,100,100,SO,11711519,19711080,0.5942,59.42
63,F22-11-SO3,F22,11,SO,3,21/11/2017,21/01/2019,100,100,SO,5273424,23194520,0.2274,22.74
