##Databases: KEGG PATHWAY
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Metabolic pathways	KEGG PATHWAY	osa01100	76	1573	9.71870015893e-18	8.1637081335e-16	4328418|4350084|4332843|4349224|4327289|4339892|4338409|4324554|4329853|4351966|4345717|4339815|4352747|4330034|4342680|4328018|4325740|4330036|4340240|4329920|4347074|4338861|4340008|4326980|4333862|4345220|4352146|4352147|4332121|4352021|4342192|4336415|4348152|4352014|4352016|4337482|4328439|4337818|4352505|4335984|4334169|4338007|4329561|4337206|4325651|4334183|4327423|4346988|4350614|4326815|4338010|4333458|4329098|4325067|4348791|4332151|4344277|4334073|4332293|4351847|4328552|4331577|4331547|4342996|4325531|4346993|4337714|4349097|4350456|4343443|4330192|4351610|4324810|4346299|4337415|4344403	http://www.genome.jp/kegg-bin/show_pathway?osa01100/osa:4334183%09red/osa:4333862%09red/osa:4348791%09red/osa:4332151%09red/osa:4352146%09red/osa:4352016%09red/osa:4324554%09red/osa:4344403%09red/osa:4342996%09red/osa:4328018%09red/osa:4325531%09red/osa:4345220%09red/osa:4335984%09red/osa:4345717%09red/osa:4346299%09red/osa:4350456%09red/osa:4326980%09red/osa:4332121%09red/osa:4334169%09red/osa:4337415%09red/osa:4330034%09red/osa:4350084%09red/osa:4330036%09red/osa:4352505%09red/osa:4337714%09red/osa:4327289%09red/osa:4348152%09red/osa:4349097%09red/osa:4328552%09red/osa:4333458%09red/osa:4337206%09red/osa:4346988%09red/osa:4329561%09red/osa:4336415%09red/osa:4350614%09red/osa:4330192%09red/osa:4327423%09red/osa:4334073%09red/osa:4337482%09red/osa:4349224%09red/osa:4338007%09red/osa:4325067%09red/osa:4331547%09red/osa:4326815%09red/osa:4338861%09red/osa:4342192%09red/osa:4339892%09red/osa:4331577%09red/osa:4347074%09red/osa:4352021%09red/osa:4325740%09red/osa:4329920%09red/osa:4339815%09red/osa:4337818%09red/osa:4342680%09red/osa:4352747%09red/osa:4328439%09red/osa:4324810%09red/osa:4343443%09red/osa:4352014%09red/osa:4332293%09red/osa:4329853%09red/osa:4328418%09red/osa:4329098%09red/osa:4346993%09red/osa:4332843%09red/osa:4340008%09red/osa:4351847%09red/osa:4338010%09red/osa:4351610%09red/osa:4338409%09red/osa:4352147%09red/osa:4344277%09red/osa:4351966%09red/osa:4340240%09red/osa:4325651%09red
Biosynthesis of secondary metabolites	KEGG PATHWAY	osa01110	48	848	8.04949729059e-14	3.38078886205e-12	4332843|4349224|4327289|4339892|4338409|4324554|4352747|4345717|4339815|4330034|4342680|4330036|4340240|4347074|4338861|4326980|4333862|4346988|4328073|4332121|4331540|4336415|4348152|4337482|4337818|4335091|4352505|4335984|4325651|4334183|4327423|4350614|4338010|4333458|4329098|4332151|4344277|4332293|4351847|4328552|4331547|4337415|4346993|4349097|4350456|4330192|4324810|4344403	http://www.genome.jp/kegg-bin/show_pathway?osa01110/osa:4334183%09red/osa:4333862%09red/osa:4332151%09red/osa:4324554%09red/osa:4344403%09red/osa:4335091%09red/osa:4335984%09red/osa:4345717%09red/osa:4350456%09red/osa:4326980%09red/osa:4328073%09red/osa:4332121%09red/osa:4337415%09red/osa:4330034%09red/osa:4330036%09red/osa:4352505%09red/osa:4327289%09red/osa:4348152%09red/osa:4349097%09red/osa:4328552%09red/osa:4333458%09red/osa:4346988%09red/osa:4336415%09red/osa:4330192%09red/osa:4327423%09red/osa:4337482%09red/osa:4349224%09red/osa:4351847%09red/osa:4331547%09red/osa:4338861%09red/osa:4350614%09red/osa:4339892%09red/osa:4347074%09red/osa:4339815%09red/osa:4337818%09red/osa:4342680%09red/osa:4352747%09red/osa:4324810%09red/osa:4332293%09red/osa:4329098%09red/osa:4346993%09red/osa:4332843%09red/osa:4331540%09red/osa:4338010%09red/osa:4338409%09red/osa:4344277%09red/osa:4340240%09red/osa:4325651%09red
Phenylpropanoid biosynthesis	KEGG PATHWAY	osa00940	15	125	4.82707194463e-09	1.3515801445e-07	4340240|4347074|4328552|4336415|4346988|4338409|4346993|4324554|4349097|4345717|4337482|4330034|4338861|4330036|4344277	http://www.genome.jp/kegg-bin/show_pathway?osa00940/osa:4337482%09red/osa:4330034%09red/osa:4330036%09red/osa:4345717%09red/osa:4324554%09red/osa:4346993%09red/osa:4349097%09red/osa:4328552%09red/osa:4347074%09red/osa:4346988%09red/osa:4338409%09red/osa:4338861%09red/osa:4344277%09red/osa:4336415%09red/osa:4340240%09red
Phenylalanine metabolism	KEGG PATHWAY	osa00360	8	35	2.66486820056e-07	5.59622322118e-06	4340240|4329098|4338409|4338861|4336415|4345717|4330034|4330036	http://www.genome.jp/kegg-bin/show_pathway?osa00360/osa:4330034%09red/osa:4330036%09red/osa:4338861%09red/osa:4329098%09red/osa:4345717%09red/osa:4338409%09red/osa:4336415%09red/osa:4340240%09red
Glyoxylate and dicarboxylate metabolism	KEGG PATHWAY	osa00630	9	63	1.60818785528e-06	2.70175559687e-05	4352016|4326980|4331547|4328073|4352014|4352021|4327423|4351966|4350456	http://www.genome.jp/kegg-bin/show_pathway?osa00630/osa:4327423%09red/osa:4350456%09red/osa:4352016%09red/osa:4352014%09red/osa:4331547%09red/osa:4352021%09red/osa:4351966%09red/osa:4326980%09red/osa:4328073%09red
Carbon metabolism	KEGG PATHWAY	osa01200	15	235	8.7978355235e-06	0.000123169697329	4332293|4338007|4326980|4331547|4328073|4339892|4352014|4338010|4327423|4351966|4350456|4352016|4352021|4325531|4344403	http://www.genome.jp/kegg-bin/show_pathway?osa01200/osa:4327423%09red/osa:4350456%09red/osa:4338007%09red/osa:4352014%09red/osa:4332293%09red/osa:4339892%09red/osa:4344403%09red/osa:4331547%09red/osa:4325531%09red/osa:4338010%09red/osa:4352021%09red/osa:4351966%09red/osa:4352016%09red/osa:4326980%09red/osa:4328073%09red
Carbon fixation in photosynthetic organisms	KEGG PATHWAY	osa00710	8	73	3.54913677315e-05	0.000425896412778	4332293|4338007|4325531|4352021|4327423|4351966|4352014|4352016	http://www.genome.jp/kegg-bin/show_pathway?osa00710/osa:4327423%09red/osa:4352016%09red/osa:4352014%09red/osa:4351966%09red/osa:4332293%09red/osa:4338007%09red/osa:4352021%09red/osa:4325531%09red
Ascorbate and aldarate metabolism	KEGG PATHWAY	osa00053	5	37	0.000447791909266	0.00470181504729	4350084|4334169|4352147|4346299|4352146	http://www.genome.jp/kegg-bin/show_pathway?osa00053/osa:4346299%09red/osa:4352147%09red/osa:4352146%09red/osa:4334169%09red/osa:4350084%09red
Vitamin B6 metabolism	KEGG PATHWAY	osa00750	3	8	0.000543564851198	0.00507327194451	4325651|4347937|4342162	http://www.genome.jp/kegg-bin/show_pathway?osa00750/osa:4342162%09red/osa:4347937%09red/osa:4325651%09red
Cysteine and methionine metabolism	KEGG PATHWAY	osa00270	7	96	0.00108314534797	0.00859114817649	4332151|4352747|4327423|4329098|4337818|4342996|4328418	http://www.genome.jp/kegg-bin/show_pathway?osa00270/osa:4327423%09red/osa:4337818%09red/osa:4352747%09red/osa:4332151%09red/osa:4328418%09red/osa:4342996%09red/osa:4329098%09red
