##Databases: KEGG PATHWAY
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Metabolic pathways	KEGG PATHWAY	osa01100	33	1573	7.20099245108e-05	0.00439260539516	4347638|4326948|4334655|4334114|4326537|4342543|4347954|4337051|4325277|4324637|4343249|4347225|4347224|4337563|4328256|4326136|4352085|4326153|4335984|4333967|4328841|4340142|4328000|4334968|4328006|4336983|4329623|4324001|4332134|4328107|4339369|4330873|4337676	http://www.genome.jp/kegg-bin/show_pathway?osa01100/osa:4326948%09red/osa:4326537%09red/osa:4324001%09red/osa:4336983%09red/osa:4335984%09red/osa:4337676%09red/osa:4343249%09red/osa:4330873%09red/osa:4333967%09red/osa:4324637%09red/osa:4332134%09red/osa:4328841%09red/osa:4325277%09red/osa:4328256%09red/osa:4326136%09red/osa:4334968%09red/osa:4337563%09red/osa:4347224%09red/osa:4347225%09red/osa:4347954%09red/osa:4326153%09red/osa:4337051%09red/osa:4334655%09red/osa:4334114%09red/osa:4328107%09red/osa:4347638%09red/osa:4342543%09red/osa:4328006%09red/osa:4328000%09red/osa:4340142%09red/osa:4329623%09red/osa:4339369%09red/osa:4352085%09red
Biosynthesis of secondary metabolites	KEGG PATHWAY	osa01110	19	848	0.00121805646199	0.0371507220907	4332134|4326948|4339369|4337051|4340142|4328841|4339236|4334968|4328107|4330873|4347225|4334114|4328006|4328256|4326136|4326153|4347224|4342543|4335984	http://www.genome.jp/kegg-bin/show_pathway?osa01110/osa:4326136%09red/osa:4326948%09red/osa:4328006%09red/osa:4330873%09red/osa:4347224%09red/osa:4347225%09red/osa:4340142%09red/osa:4326153%09red/osa:4337051%09red/osa:4339369%09red/osa:4332134%09red/osa:4328107%09red/osa:4328256%09red/osa:4335984%09red/osa:4328841%09red/osa:4334114%09red/osa:4334968%09red/osa:4339236%09red/osa:4342543%09red
Cysteine and methionine metabolism	KEGG PATHWAY	osa00270	5	96	0.00344456007954	0.0700393882839	4340142|4347225|4347224|4347954|4330873	http://www.genome.jp/kegg-bin/show_pathway?osa00270/osa:4340142%09red/osa:4347224%09red/osa:4347225%09red/osa:4347954%09red/osa:4330873%09red
beta-Alanine metabolism	KEGG PATHWAY	osa00410	3	32	0.00505368173024	0.0770686463862	4343249|4337046|4324637	http://www.genome.jp/kegg-bin/show_pathway?osa00410/osa:4324637%09red/osa:4343249%09red/osa:4337046%09red
Valine, leucine and isoleucine degradation	KEGG PATHWAY	osa00280	3	40	0.00898884825821	0.10966394875	4326136|4324637|4337676	http://www.genome.jp/kegg-bin/show_pathway?osa00280/osa:4337676%09red/osa:4326136%09red/osa:4324637%09red
Carbon metabolism	KEGG PATHWAY	osa01200	7	235	0.0110572105717	0.112414974146	4337051|4340142|4324637|4334968|4339369|4326136|4342543	http://www.genome.jp/kegg-bin/show_pathway?osa01200/osa:4326136%09red/osa:4334968%09red/osa:4340142%09red/osa:4337051%09red/osa:4324637%09red/osa:4339369%09red/osa:4342543%09red
Galactose metabolism	KEGG PATHWAY	osa00052	3	53	0.0183732551272	0.159989457743	4347638|4324001|4339369	http://www.genome.jp/kegg-bin/show_pathway?osa00052/osa:4324001%09red/osa:4339369%09red/osa:4347638%09red
Butanoate metabolism	KEGG PATHWAY	osa00650	2	21	0.0217790891708	0.159989457743	4326136|4336983	http://www.genome.jp/kegg-bin/show_pathway?osa00650/osa:4336983%09red/osa:4326136%09red
Propanoate metabolism	KEGG PATHWAY	osa00640	2	22	0.0236050019621	0.159989457743	4326136|4324637	http://www.genome.jp/kegg-bin/show_pathway?osa00640/osa:4326136%09red/osa:4324637%09red
Photosynthesis	KEGG PATHWAY	osa00195	3	70	0.0364769897519	0.222509637486	4328000|4352085|4326537	http://www.genome.jp/kegg-bin/show_pathway?osa00195/osa:4326537%09red/osa:4328000%09red/osa:4352085%09red
Plant hormone signal transduction	KEGG PATHWAY	osa04075	5	184	0.041259376895	0.228801999145	4335058|4347000|4337372|4326775|4324749	http://www.genome.jp/kegg-bin/show_pathway?osa04075/osa:4337372%09red/osa:4324749%09red/osa:4335058%09red/osa:4347000%09red/osa:4326775%09red
Cyanoamino acid metabolism	KEGG PATHWAY	osa00460	2	36	0.0549242147085	0.279198091435	4334114|4326948	http://www.genome.jp/kegg-bin/show_pathway?osa00460/osa:4334114%09red/osa:4326948%09red
Arginine and proline metabolism	KEGG PATHWAY	osa00330	2	40	0.0655653519058	0.29270933617	4337046|4328006	http://www.genome.jp/kegg-bin/show_pathway?osa00330/osa:4328006%09red/osa:4337046%09red
RNA transport	KEGG PATHWAY	osa03013	4	149	0.0671791919078	0.29270933617	4331811|4331810|4331813|4331812	http://www.genome.jp/kegg-bin/show_pathway?osa03013/osa:4331810%09red/osa:4331811%09red/osa:4331812%09red/osa:4331813%09red
Phosphatidylinositol signaling system	KEGG PATHWAY	osa04070	2	43	0.0739569848822	0.293310303237	4333967|4333768	http://www.genome.jp/kegg-bin/show_pathway?osa04070/osa:4333768%09red/osa:4333967%09red
Synthesis and degradation of ketone bodies	KEGG PATHWAY	osa00072	1	7	0.0769338500295	0.293310303237	4326136	http://www.genome.jp/kegg-bin/show_pathway?osa00072/osa:4326136%09red
Terpenoid backbone biosynthesis	KEGG PATHWAY	osa00900	2	47	0.0856412085001	0.307300806971	4326136|4326153	http://www.genome.jp/kegg-bin/show_pathway?osa00900/osa:4326136%09red/osa:4326153%09red
Brassinosteroid biosynthesis	KEGG PATHWAY	osa00905	1	9	0.0952269796003	0.314102888288	4332134	http://www.genome.jp/kegg-bin/show_pathway?osa00905/osa:4332134%09red
