##Databases: KEGG PATHWAY
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Ribosome	KEGG PATHWAY	osa03010	26	337	1.35367154745e-14	8.12202928472e-13	4347422|4332802|4335531|4338077|4327999|4326782|4327674|4344162|9267955|4344516|4336307|4328826|4339011|4343020|9271790|4341969|9266562|4333306|4349653|4351374|4339162|4333387|4352353|4341262|4339572|4325892	http://www.genome.jp/kegg-bin/show_pathway?osa03010/osa:4339572%09red/osa:4335531%09red/osa:4344162%09red/osa:4347422%09red/osa:4339162%09red/osa:4327999%09red/osa:4341262%09red/osa:4352353%09red/osa:4327674%09red/osa:4333387%09red/osa:4336307%09red/osa:9266562%09red/osa:4328826%09red/osa:4349653%09red/osa:9271790%09red/osa:4343020%09red/osa:4344516%09red/osa:4333306%09red/osa:4341969%09red/osa:4351374%09red/osa:4332802%09red/osa:4339011%09red/osa:4326782%09red/osa:4325892%09red/osa:9267955%09red/osa:4338077%09red
Ribosome biogenesis in eukaryotes	KEGG PATHWAY	osa03008	8	86	6.14178451368e-06	0.00018425353541	4352760|4344029|4332567|4328064|4342750|4339880|4344688|4350782	http://www.genome.jp/kegg-bin/show_pathway?osa03008/osa:4344029%09red/osa:4352760%09red/osa:4342750%09red/osa:4332567%09red/osa:4339880%09red/osa:4344688%09red/osa:4328064%09red/osa:4350782%09red
Biosynthesis of secondary metabolites	KEGG PATHWAY	osa01110	22	848	0.000120296059192	0.00240592118384	4331502|4339815|4342420|4342543|4324853|4337051|4333862|4337406|4332121|4331540|4351850|4328435|4328841|4352832|4352833|4328006|4326249|4337100|4337102|4331897|4328124|4340640	http://www.genome.jp/kegg-bin/show_pathway?osa01110/osa:4337100%09red/osa:4337102%09red/osa:4340640%09red/osa:4352833%09red/osa:4352832%09red/osa:4331897%09red/osa:4351850%09red/osa:4328841%09red/osa:4337406%09red/osa:4337051%09red/osa:4328124%09red/osa:4324853%09red/osa:4342543%09red/osa:4339815%09red/osa:4328006%09red/osa:4326249%09red/osa:4328435%09red/osa:4332121%09red/osa:4333862%09red/osa:4331540%09red/osa:4342420%09red/osa:4331502%09red
Metabolic pathways	KEGG PATHWAY	osa01100	32	1573	0.000314869293362	0.00472303940043	4347638|4339898|4333156|4331502|4339815|4343906|4342420|4326537|4342543|4339874|4324853|4331897|4333862|4337406|4332121|4348524|4351850|4328435|4341195|4349122|4328841|4352832|4352833|4335701|4328000|4328006|4326249|4326815|4337051|4344059|4340640|4328220	http://www.genome.jp/kegg-bin/show_pathway?osa01100/osa:4326537%09red/osa:4344059%09red/osa:4335701%09red/osa:4340640%09red/osa:4352833%09red/osa:4352832%09red/osa:4331897%09red/osa:4351850%09red/osa:4328841%09red/osa:4337406%09red/osa:4343906%09red/osa:4348524%09red/osa:4339898%09red/osa:4328220%09red/osa:4326815%09red/osa:4342420%09red/osa:4337051%09red/osa:4341195%09red/osa:4347638%09red/osa:4342543%09red/osa:4339815%09red/osa:4328006%09red/osa:4328000%09red/osa:4339874%09red/osa:4326249%09red/osa:4328435%09red/osa:4349122%09red/osa:4332121%09red/osa:4333862%09red/osa:4324853%09red/osa:4331502%09red/osa:4333156%09red
Linoleic acid metabolism	KEGG PATHWAY	osa00591	3	15	0.000795086058582	0.00954103270299	4333862|4333823|4333821	http://www.genome.jp/kegg-bin/show_pathway?osa00591/osa:4333862%09red/osa:4333823%09red/osa:4333821%09red
Arginine and proline metabolism	KEGG PATHWAY	osa00330	4	40	0.00109708067819	0.0109708067819	4324853|4337046|4341195|4328006	http://www.genome.jp/kegg-bin/show_pathway?osa00330/osa:4324853%09red/osa:4341195%09red/osa:4328006%09red/osa:4337046%09red
Glutathione metabolism	KEGG PATHWAY	osa00480	5	73	0.00130226113852	0.0111622383302	4346247|4332474|4343183|4341195|4332455	http://www.genome.jp/kegg-bin/show_pathway?osa00480/osa:4346247%09red/osa:4343183%09red/osa:4332474%09red/osa:4341195%09red/osa:4332455%09red
Carbon metabolism	KEGG PATHWAY	osa01200	8	235	0.00395802931709	0.0268844327377	4337051|4337406|4348524|4328435|4326249|4340640|4342420|4342543	http://www.genome.jp/kegg-bin/show_pathway?osa01200/osa:4348524%09red/osa:4326249%09red/osa:4328435%09red/osa:4337051%09red/osa:4342420%09red/osa:4340640%09red/osa:4342543%09red/osa:4337406%09red
Cysteine and methionine metabolism	KEGG PATHWAY	osa00270	5	96	0.00403266491066	0.0268844327377	4339898|4326249|4352832|4341195|4352833	http://www.genome.jp/kegg-bin/show_pathway?osa00270/osa:4326249%09red/osa:4341195%09red/osa:4339898%09red/osa:4352833%09red/osa:4352832%09red
RNA transport	KEGG PATHWAY	osa03013	6	149	0.00561999366396	0.0337199619837	4331811|4340958|4331810|4331813|4331812|4326038	http://www.genome.jp/kegg-bin/show_pathway?osa03013/osa:4340958%09red/osa:4331810%09red/osa:4331811%09red/osa:4331812%09red/osa:4331813%09red/osa:4326038%09red
Biosynthesis of amino acids	KEGG PATHWAY	osa01230	7	207	0.00709530705029	0.0387016748198	4324853|4352832|4352833|4337406|4348524|4328435|4342543	http://www.genome.jp/kegg-bin/show_pathway?osa01230/osa:4348524%09red/osa:4337406%09red/osa:4328435%09red/osa:4324853%09red/osa:4342543%09red/osa:4352833%09red/osa:4352832%09red
Ascorbate and aldarate metabolism	KEGG PATHWAY	osa00053	3	37	0.00814280128429	0.0387070883644	4333156|4346247|4332474	http://www.genome.jp/kegg-bin/show_pathway?osa00053/osa:4346247%09red/osa:4333156%09red/osa:4332474%09red
Carbon fixation in photosynthetic organisms	KEGG PATHWAY	osa00710	4	73	0.00838653581229	0.0387070883644	4326249|4328435|4342543|4348524	http://www.genome.jp/kegg-bin/show_pathway?osa00710/osa:4326249%09red/osa:4328435%09red/osa:4348524%09red/osa:4342543%09red
Selenocompound metabolism	KEGG PATHWAY	osa00450	2	16	0.0146024589261	0.0625819668263	4352832|4352833	http://www.genome.jp/kegg-bin/show_pathway?osa00450/osa:4352833%09red/osa:4352832%09red
Flavonoid biosynthesis	KEGG PATHWAY	osa00941	2	18	0.0178897465883	0.0715589863532	4337100|4337102	http://www.genome.jp/kegg-bin/show_pathway?osa00941/osa:4337100%09red/osa:4337102%09red
Glyoxylate and dicarboxylate metabolism	KEGG PATHWAY	osa00630	3	63	0.0310226900015	0.116335087506	4326249|4342420|4337051	http://www.genome.jp/kegg-bin/show_pathway?osa00630/osa:4326249%09red/osa:4342420%09red/osa:4337051%09red
Arginine biosynthesis	KEGG PATHWAY	osa00220	2	28	0.0382890774789	0.133416175891	4348524|4328006	http://www.genome.jp/kegg-bin/show_pathway?osa00220/osa:4348524%09red/osa:4328006%09red
Photosynthesis	KEGG PATHWAY	osa00195	3	70	0.0400248527673	0.133416175891	4328000|4326537|4339874	http://www.genome.jp/kegg-bin/show_pathway?osa00195/osa:4326537%09red/osa:4328000%09red/osa:4339874%09red
beta-Alanine metabolism	KEGG PATHWAY	osa00410	2	32	0.0480745654453	0.151814417196	4337046|4341195	http://www.genome.jp/kegg-bin/show_pathway?osa00410/osa:4341195%09red/osa:4337046%09red
Purine metabolism	KEGG PATHWAY	osa00230	4	130	0.0507031487641	0.152109446292	4331502|4337406|4351850|4339815	http://www.genome.jp/kegg-bin/show_pathway?osa00230/osa:4331502%09red/osa:4339815%09red/osa:4351850%09red/osa:4337406%09red
