##Databases: PANTHER, KEGG PATHWAY
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Metabolic pathways	KEGG PATHWAY	osa01100	59	1573	8.48927013055e-16	6.45184529922e-14	4345842|4335689|4332843|4334554|4339859|4336028|4333156|4331502|4331528|4343906|4330036|4331917|4342680|4346906|4350528|9268113|4327479|4348816|4337347|4337406|4340386|4324773|4339248|4336415|4328435|4342988|4328439|4339017|4335984|4347638|4331861|4331941|4328841|4352832|4352833|4325586|4325651|4346159|4327423|4344670|4334338|4344564|4327239|4340725|4334073|4338768|4340909|4345338|4324621|4324176|4324704|4337714|4331547|4350456|4343443|4346642|4328220|4324810|4349004	http://www.genome.jp/kegg-bin/show_pathway?osa01100/osa:4340909%09red/osa:4331917%09red/osa:4350528%09red/osa:4344564%09red/osa:4334554%09red/osa:4349004%09red/osa:4327239%09red/osa:4343443%09red/osa:4335984%09red/osa:4350456%09red/osa:4352833%09red/osa:4352832%09red/osa:4327479%09red/osa:4340725%09red/osa:4346159%09red/osa:4330036%09red/osa:4337714%09red/osa:4348816%09red/osa:4331528%09red/osa:4324176%09red/osa:4328841%09red/osa:4336415%09red/osa:4343906%09red/osa:4324773%09red/osa:4327423%09red/osa:4334073%09red/osa:4338768%09red/osa:4325586%09red/osa:4345338%09red/osa:4339859%09red/osa:4336028%09red/osa:4335689%09red/osa:4331941%09red/osa:4337347%09red/osa:4346906%09red/osa:4344670%09red/osa:4346642%09red/osa:4331861%09red/osa:4331547%09red/osa:4342988%09red/osa:4347638%09red/osa:4337406%09red/osa:4339248%09red/osa:4342680%09red/osa:4328439%09red/osa:4324810%09red/osa:4328435%09red/osa:4334338%09red/osa:4339017%09red/osa:9268113%09red/osa:4324621%09red/osa:4332843%09red/osa:4324704%09red/osa:4340386%09red/osa:4328220%09red/osa:4331502%09red/osa:4333156%09red/osa:4345842%09red/osa:4325651%09red
Biosynthesis of secondary metabolites	KEGG PATHWAY	osa01110	41	848	1.38833587601e-14	5.27567632883e-13	4345842|4335689|4332843|4339859|4338768|4331502|4331528|4330036|4342680|4346906|4346642|4327479|4331547|4337406|4346159|4324773|4331540|4350528|4336415|4347610|4328435|4342988|4339017|4335984|4331861|4331941|4328841|4352832|4352833|4325651|4327423|4349004|4344564|4327239|4340725|4340909|4345338|4324176|4328124|4350456|4324810	http://www.genome.jp/kegg-bin/show_pathway?osa01110/osa:4340909%09red/osa:4346159%09red/osa:4350528%09red/osa:4344564%09red/osa:4349004%09red/osa:4327239%09red/osa:4335984%09red/osa:4350456%09red/osa:4352833%09red/osa:4352832%09red/osa:4340725%09red/osa:4330036%09red/osa:4331528%09red/osa:4324176%09red/osa:4328841%09red/osa:4336415%09red/osa:4324773%09red/osa:4327423%09red/osa:4338768%09red/osa:4345338%09red/osa:4331547%09red/osa:4335689%09red/osa:4331941%09red/osa:4346906%09red/osa:4346642%09red/osa:4328124%09red/osa:4347610%09red/osa:4331861%09red/osa:4342988%09red/osa:4337406%09red/osa:4339859%09red/osa:4342680%09red/osa:4324810%09red/osa:4328435%09red/osa:4345842%09red/osa:4339017%09red/osa:4327479%09red/osa:4332843%09red/osa:4331540%09red/osa:4331502%09red/osa:4325651%09red
Carbon metabolism	KEGG PATHWAY	osa01200	21	235	1.35322008552e-12	3.42815754999e-11	4331528|4350528|4331941|4345842|4335689|4331861|4331547|4337406|4334554|4339859|4324773|4327423|4350456|4346906|4342988|4344564|4346159|4328435|4327239|4324176|4327479	http://www.genome.jp/kegg-bin/show_pathway?osa01200/osa:4324773%09red/osa:4327423%09red/osa:4339859%09red/osa:4346159%09red/osa:4350528%09red/osa:4344564%09red/osa:4328435%09red/osa:4334554%09red/osa:4331941%09red/osa:4335689%09red/osa:4327239%09red/osa:4331547%09red/osa:4327479%09red/osa:4331528%09red/osa:4331861%09red/osa:4346906%09red/osa:4324176%09red/osa:4350456%09red/osa:4342988%09red/osa:4345842%09red/osa:4337406%09red
Biosynthesis of amino acids	KEGG PATHWAY	osa01230	17	207	6.401330168e-10	1.21625273192e-08	4331861|4331941|4327479|4352832|4352833|4331547|4337406|4325651|4324773|4346642|4350456|4328435|4331528|4344564|4327239|4324176|4346906	http://www.genome.jp/kegg-bin/show_pathway?osa01230/osa:4324773%09red/osa:4331528%09red/osa:4331547%09red/osa:4344564%09red/osa:4328435%09red/osa:4331941%09red/osa:4327239%09red/osa:4327479%09red/osa:4346642%09red/osa:4352832%09red/osa:4346906%09red/osa:4352833%09red/osa:4324176%09red/osa:4331861%09red/osa:4350456%09red/osa:4325651%09red/osa:4337406%09red
Glycolysis / Gluconeogenesis	KEGG PATHWAY	osa00010	10	123	2.43240887162e-06	3.33868549728e-05	4345842|4340909|4345338|4337406|4346159|4339859|4340725|4328435|4344564|4346906	http://www.genome.jp/kegg-bin/show_pathway?osa00010/osa:4339859%09red/osa:4340909%09red/osa:4346159%09red/osa:4345338%09red/osa:4344564%09red/osa:4328435%09red/osa:4345842%09red/osa:4346906%09red/osa:4340725%09red/osa:4337406%09red
Cysteine and methionine metabolism	KEGG PATHWAY	osa00270	9	96	2.63580433996e-06	3.33868549728e-05	4346642|4331941|4327479|4352832|4352833|4337347|4327423|4331528|4331861	http://www.genome.jp/kegg-bin/show_pathway?osa00270/osa:4327423%09red/osa:4331528%09red/osa:4331941%09red/osa:4337347%09red/osa:4327479%09red/osa:4346642%09red/osa:4331861%09red/osa:4352833%09red/osa:4352832%09red
Sulfur metabolism	KEGG PATHWAY	osa00920	6	35	5.67767707013e-06	6.16433510471e-05	4331861|4331941|4327479|4339248|4331528|4334073	http://www.genome.jp/kegg-bin/show_pathway?osa00920/osa:4339248%09red/osa:4334073%09red/osa:4331528%09red/osa:4331941%09red/osa:4327479%09red/osa:4331861%09red
Nitrogen metabolism	KEGG PATHWAY	osa00910	5	28	2.95466247218e-05	0.000280692934857	4345795|4326014|4330867|4344164|4345798	http://www.genome.jp/kegg-bin/show_pathway?osa00910/osa:4345798%09red/osa:4326014%09red/osa:4344164%09red/osa:4330867%09red/osa:4345795%09red
Pentose phosphate pathway	KEGG PATHWAY	osa00030	6	51	3.9493638185e-05	0.000300151650206	4345842|4340909|4345338|4350528|4342988|4327239	http://www.genome.jp/kegg-bin/show_pathway?osa00030/osa:4350528%09red/osa:4340909%09red/osa:4345338%09red/osa:4345842%09red/osa:4327239%09red/osa:4342988%09red
Citrate cycle (TCA cycle)	KEGG PATHWAY	osa00020	6	51	3.9493638185e-05	0.000300151650206	4335689|4331547|4324176|4346159|4339859|4327423	http://www.genome.jp/kegg-bin/show_pathway?osa00020/osa:4327423%09red/osa:4346159%09red/osa:4339859%09red/osa:4335689%09red/osa:4331547%09red/osa:4324176%09red
One carbon pool by folate	KEGG PATHWAY	osa00670	3	14	0.000812188730794	0.00561148577639	4350456|4334554|4324773	http://www.genome.jp/kegg-bin/show_pathway?osa00670/osa:4324773%09red/osa:4334554%09red/osa:4350456%09red
Glyoxylate and dicarboxylate metabolism	KEGG PATHWAY	osa00630	5	63	0.000946317159448	0.00599334200984	4327423|4331547|4350456|4344164|4324773	http://www.genome.jp/kegg-bin/show_pathway?osa00630/osa:4324773%09red/osa:4327423%09red/osa:4350456%09red/osa:4344164%09red/osa:4331547%09red
Selenocompound metabolism	KEGG PATHWAY	osa00450	3	16	0.0011385620681	0.00665620901353	4334073|4352832|4352833	http://www.genome.jp/kegg-bin/show_pathway?osa00450/osa:4334073%09red/osa:4352833%09red/osa:4352832%09red
Pyruvate metabolism	KEGG PATHWAY	osa00620	5	79	0.00242826442474	0.0131820068772	4327423|4337406|4346159|4339859|4340725	http://www.genome.jp/kegg-bin/show_pathway?osa00620/osa:4327423%09red/osa:4340725%09red/osa:4346159%09red/osa:4339859%09red/osa:4337406%09red
Circadian rhythm - plant	KEGG PATHWAY	osa04712	3	24	0.00321941485468	0.0163117019304	4347674|4328662|4339663	http://www.genome.jp/kegg-bin/show_pathway?osa04712/osa:4339663%09red/osa:4328662%09red/osa:4347674%09red
Carotenoid biosynthesis	KEGG PATHWAY	osa00906	3	27	0.00436080439513	0.0207138208769	107276001|4342680|4335984	http://www.genome.jp/kegg-bin/show_pathway?osa00906/osa:4342680%09red/osa:107276001%09red/osa:4335984%09red
Glycine, serine and threonine metabolism	KEGG PATHWAY	osa00260	4	57	0.00467057862497	0.0208802338528	4346642|4350456|4325651|4324773	http://www.genome.jp/kegg-bin/show_pathway?osa00260/osa:4324773%09red/osa:4346642%09red/osa:4350456%09red/osa:4325651%09red
Thiamine metabolism	KEGG PATHWAY	osa00730	2	10	0.00747730428795	0.0309126480788	4338768|4343443	http://www.genome.jp/kegg-bin/show_pathway?osa00730/osa:4343443%09red/osa:4338768%09red
