##Databases: KEGG PATHWAY
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Metabolic pathways	KEGG PATHWAY	osa01100	98	1573	1.46986313873e-13	1.36697271902e-11	4327282|4350084|4324962|4330657|4337904|4324793|4327412|4325621|4342508|4328603|4345220|4352146|4352147|4336415|4345787|4350881|4334968|4334641|4325167|4325632|4352706|4342614|4324001|4344059|4328266|4338007|4342055|4328812|4339812|4343908|4328018|4334492|4336037|4340240|4331779|4325444|4344928|4334912|4336265|4340484|4340485|4336538|4331861|4330380|4344277|4328552|4328485|4339675|4346699|4341718|4338546|4331150|4343275|4331152|4346299|4348791|4349403|4325740|4328527|4326136|4347172|4333967|4338750|4348242|4334169|4343959|4333554|4327423|4328439|4333201|4332788|4340921|4345071|4350456|4324263|4329853|4334116|4337206|4344683|4346988|4333171|4329920|4348152|4327833|4337818|4341195|4326459|4331941|4328841|4339844|4346520|4327178|4349966|4328997|4346993|4343441|4336081|4329911	http://www.genome.jp/kegg-bin/show_pathway?osa01100/osa:4324263%09red/osa:4338546%09red/osa:4344059%09red/osa:4345220%09red/osa:4344683%09red/osa:4334169%09red/osa:4327282%09red/osa:4339844%09red/osa:4348152%09red/osa:4325621%09red/osa:4336415%09red/osa:4325167%09red/osa:4334492%09red/osa:4343275%09red/osa:4333554%09red/osa:4341195%09red/osa:4327178%09red/osa:4328439%09red/osa:4324962%09red/osa:4328527%09red/osa:4328812%09red/osa:4327412%09red/osa:4328018%09red/osa:4343959%09red/osa:4336265%09red/osa:4338007%09red/osa:4328552%09red/osa:4328485%09red/osa:4326136%09red/osa:4334968%09red/osa:4345071%09red/osa:4347172%09red/osa:4337206%09red/osa:4346699%09red/osa:4331861%09red/osa:4342055%09red/osa:4325740%09red/osa:4331779%09red/osa:4340485%09red/osa:4340484%09red/osa:4344928%09red/osa:4328266%09red/osa:4340240%09red/osa:4348791%09red/osa:4348242%09red/osa:4334641%09red/osa:4331150%09red/osa:4331152%09red/osa:4340921%09red/osa:4329853%09red/osa:4343441%09red/osa:4346299%09red/osa:4329911%09red/osa:4350084%09red/osa:4337904%09red/osa:4333967%09red/osa:4349966%09red/osa:4346988%09red/osa:4327423%09red/osa:4338750%09red/osa:4327833%09red/osa:4341718%09red/osa:4333201%09red/osa:4329920%09red/osa:4339812%09red/osa:4345787%09red/osa:4330380%09red/osa:4333171%09red/osa:4342508%09red/osa:4336037%09red/osa:4325632%09red/osa:4324001%09red/osa:4339675%09red/osa:4346520%09red/osa:4350456%09red/osa:4346993%09red/osa:4328603%09red/osa:4343908%09red/osa:4336538%09red/osa:4328841%09red/osa:4342614%09red/osa:4325444%09red/osa:4324793%09red/osa:4331941%09red/osa:4332788%09red/osa:4334116%09red/osa:4352706%09red/osa:4350881%09red/osa:4337818%09red/osa:4344277%09red/osa:4328997%09red/osa:4349403%09red/osa:4336081%09red/osa:4334912%09red/osa:4326459%09red/osa:4330657%09red/osa:4352147%09red/osa:4352146%09red
Biosynthesis of secondary metabolites	KEGG PATHWAY	osa01110	62	848	1.54495685222e-11	7.18404936281e-10	4334912|4343908|4328812|4333201|4337904|4333171|4334116|4324263|4349403|4334492|4336037|4325621|4344683|4340240|4342508|4325444|4328603|4346988|4328073|4348152|4336415|4347610|4340484|4340485|4326136|4337818|4335091|4348242|4336538|4331861|4331941|4328841|4331779|4330380|4346520|4345787|4350881|4327423|4327178|4334968|4333554|4334641|4325167|4344277|4349966|4328997|4328552|4328676|4342614|4328485|4328124|4325537|4346993|4347172|4341718|4350456|4343441|4331150|4343275|4331152|4329911|4327039	http://www.genome.jp/kegg-bin/show_pathway?osa01110/osa:4328812%09red/osa:4336037%09red/osa:4327423%09red/osa:4333171%09red/osa:4324263%09red/osa:4342614%09red/osa:4343908%09red/osa:4346520%09red/osa:4331152%09red/osa:4335091%09red/osa:4343441%09red/osa:4325537%09red/osa:4344683%09red/osa:4349403%09red/osa:4328073%09red/osa:4331779%09red/osa:4350456%09red/osa:4337904%09red/osa:4327039%09red/osa:4334641%09red/osa:4348242%09red/osa:4349966%09red/osa:4328603%09red/osa:4348152%09red/osa:4328552%09red/osa:4336538%09red/osa:4346988%09red/osa:4331150%09red/osa:4325621%09red/osa:4336415%09red/osa:4326136%09red/osa:4325167%09red/osa:4331941%09red/osa:4329911%09red/osa:4347172%09red/osa:4325444%09red/osa:4334968%09red/osa:4343275%09red/osa:4333554%09red/osa:4328841%09red/osa:4328124%09red/osa:4347610%09red/osa:4341718%09red/osa:4334116%09red/osa:4333201%09red/osa:4350881%09red/osa:4328676%09red/osa:4337818%09red/osa:4340240%09red/osa:4327178%09red/osa:4342508%09red/osa:4328485%09red/osa:4345787%09red/osa:4330380%09red/osa:4346993%09red/osa:4328997%09red/osa:4340485%09red/osa:4340484%09red/osa:4334912%09red/osa:4331861%09red/osa:4344277%09red/osa:4334492%09red
Protein processing in endoplasmic reticulum	KEGG PATHWAY	osa04141	22	189	5.43283678515e-08	1.6841794034e-06	4347405|4347402|4346809|4335732|4332042|4334598|4324264|4334611|4333580|4332413|4328075|4351208|4347226|4337858|4346811|4328607|4332420|4332237|4342077|4330201|9267802|4350002	http://www.genome.jp/kegg-bin/show_pathway?osa04141/osa:4350002%09red/osa:4324264%09red/osa:4351208%09red/osa:4332420%09red/osa:4328075%09red/osa:4347402%09red/osa:9267802%09red/osa:4347405%09red/osa:4328607%09red/osa:4346811%09red/osa:4334611%09red/osa:4347226%09red/osa:4335732%09red/osa:4332042%09red/osa:4332413%09red/osa:4342077%09red/osa:4333580%09red/osa:4337858%09red/osa:4334598%09red/osa:4346809%09red/osa:4332237%09red/osa:4330201%09red
Fatty acid degradation	KEGG PATHWAY	osa00071	10	41	7.71769152617e-07	1.79436327983e-05	4349966|4328997|4346520|4337904|4350881|4331150|4348152|4326136|4347172|4336538	http://www.genome.jp/kegg-bin/show_pathway?osa00071/osa:4326136%09red/osa:4337904%09red/osa:4347172%09red/osa:4349966%09red/osa:4346520%09red/osa:4331150%09red/osa:4328997%09red/osa:4348152%09red/osa:4336538%09red/osa:4350881%09red
alpha-Linolenic acid metabolism	KEGG PATHWAY	osa00592	9	39	4.09036287085e-06	7.60807493978e-05	4328997|4328603|4340485|4337904|4350881|4352160|4333201|4331150|4340484	http://www.genome.jp/kegg-bin/show_pathway?osa00592/osa:4352160%09red/osa:4337904%09red/osa:4331150%09red/osa:4328603%09red/osa:4328997%09red/osa:4340485%09red/osa:4340484%09red/osa:4333201%09red/osa:4350881%09red
Pyruvate metabolism	KEGG PATHWAY	osa00620	12	79	5.12737690034e-06	7.94743419553e-05	4349966|4346699|4332736|4338750|4338007|4346520|4327423|4334968|4324263|4326136|4347172|4336538	http://www.genome.jp/kegg-bin/show_pathway?osa00620/osa:4326136%09red/osa:4338750%09red/osa:4327423%09red/osa:4347172%09red/osa:4324263%09red/osa:4334968%09red/osa:4349966%09red/osa:4346520%09red/osa:4346699%09red/osa:4332736%09red/osa:4338007%09red/osa:4336538%09red
Ascorbate and aldarate metabolism	KEGG PATHWAY	osa00053	8	37	2.1230279852e-05	0.00028205943232	4349966|4352147|4352146|4334169|4350084|4346299|4347172|4336538	http://www.genome.jp/kegg-bin/show_pathway?osa00053/osa:4334169%09red/osa:4350084%09red/osa:4347172%09red/osa:4349966%09red/osa:4336538%09red/osa:4346299%09red/osa:4352147%09red/osa:4352146%09red
Arginine and proline metabolism	KEGG PATHWAY	osa00330	8	40	3.46524218727e-05	0.000358075026017	4349966|4337046|4334912|4333554|4325621|4347172|4341195|4336538	http://www.genome.jp/kegg-bin/show_pathway?osa00330/osa:4347172%09red/osa:4349966%09red/osa:4333554%09red/osa:4341195%09red/osa:4334912%09red/osa:4336538%09red/osa:4325621%09red/osa:4337046%09red
Valine, leucine and isoleucine degradation	KEGG PATHWAY	osa00280	8	40	3.46524218727e-05	0.000358075026017	4349966|4331779|4342508|4346520|4331150|4326136|4347172|4336538	http://www.genome.jp/kegg-bin/show_pathway?osa00280/osa:4326136%09red/osa:4342508%09red/osa:4349966%09red/osa:4346520%09red/osa:4331150%09red/osa:4331779%09red/osa:4347172%09red/osa:4336538%09red
Pentose and glucuronate interconversions	KEGG PATHWAY	osa00040	8	41	4.04590321284e-05	0.000376268998794	4349966|4327282|4352147|4344059|4352146|4334169|4350084|4336538	http://www.genome.jp/kegg-bin/show_pathway?osa00040/osa:4334169%09red/osa:4327282%09red/osa:4350084%09red/osa:4349966%09red/osa:4344059%09red/osa:4336538%09red/osa:4352147%09red/osa:4352146%09red
