Gene stable ID,KEGG Pathway and Enzyme ID,NCBI gene ID
Os01g0106200,,4326147
Os01g0106900,00900+1.1.1.267,4326153
Os01g0106900,00900+1.1.1.267,4326153
Os01g0108400,,
Os01g0109700,,
Os01g0113350,,
Os01g0113500,,
Os01g0113650,,9269575
Os01g0113800,,4326102
Os01g0114400,,
Os01g0114900,,
Os01g0115600,,4326086
Os01g0115700,,
Os01g0116000,,
Os01g0116200,,4326092
Os01g0116900,,
Os01g0117100,,
Os01g0117200,,
Os01g0117300,,
Os01g0117500,,
Os01g0117700,,
Os01g0120300,00970+6.1.1.4,
Os01g0120700,,4326037
Os01g0120800,,4326038
Os01g0120800,,4326038
Os01g0120800,,4326038
Os01g0120800,,4326038
Os01g0120800,,4326038
Os01g0120800,,4326038
Os01g0121100,,4326040
Os01g0121100,,4326040
Os01g0128200,,4325994
Os01g0128400,,4325966
Os01g0128400,,4325966
Os01g0129500,,4325971
Os01g0133400,,
Os01g0137400,,
Os01g0137950,,
Os01g0138300,05170+2.7.11.1,4325680
Os01g0138300,05163+2.7.11.1,4325680
Os01g0138300,04150+2.7.11.1,4325680
Os01g0138300,04714+2.7.11.1,4325680
Os01g0138300,05165+2.7.11.1,4325680
Os01g0138300,04926+2.7.11.1,4325680
Os01g0138300,04151+2.7.11.1,4325680
Os01g0138300,05170+2.7.11.1,4325680
Os01g0138300,05163+2.7.11.1,4325680
Os01g0138300,04150+2.7.11.1,4325680
Os01g0138300,04714+2.7.11.1,4325680
Os01g0138300,05165+2.7.11.1,4325680
Os01g0138300,04926+2.7.11.1,4325680
Os01g0138300,04151+2.7.11.1,4325680
Os01g0141000,,4325479
Os01g0142300,,
Os01g0142300,,
Os01g0142300,,
Os01g0149900,,4324515
Os01g0151500,00480+2.3.2.2+3.4.19.13,
Os01g0151500,00430+2.3.2.2,
Os01g0151500,00460+2.3.2.2,
Os01g0151600,,4324527
Os01g0173900,,4327122
Os01g0176000,,4326218
Os01g0176100,,4326219
Os01g0176200,,4326220
Os01g0176200,,4326220
Os01g0178600,,
Os01g0179800,,4325348
Os01g0184500,,4325344
Os01g0186000,,
Os01g0201200,,4327068
Os01g0207300,00270+2.5.1.6,4327097
Os01g0208700,00680+4.1.1.31,4325531
Os01g0208700,00710+4.1.1.31,4325531
Os01g0208700,00620+4.1.1.31,4325531
Os01g0208700,00720+4.1.1.31,4325531
Os01g0209700,,4325537
Os01g0212400,,4325568
Os01g0222600,,4326700
Os01g0246700,,
Os01g0268100,,4324386
Os01g0281000,,4326912
Os01g0314600,,
Os01g0323600,00270+2.5.1.6,4326996
Os01g0342900,,
Os01g0349800,,4326475
Os01g0358700,,4326023
Os01g0359400,,4326024
Os01g0359400,,4326024
Os01g0359400,,4326024
Os01g0361500,,
Os01g0368900,,4325734
Os01g0370200,00983+2.5.1.18,4325707
Os01g0370200,00982+2.5.1.18,4325707
Os01g0370200,00980+2.5.1.18,4325707
Os01g0370200,00480+2.5.1.18,4325707
Os01g0516600,,4323965
Os01g0516600,,4323965
Os01g0521600,,
Os01g0541800,,4326868
Os01g0550300,,4326196
Os01g0550300,,4326196
Os01g0553400,,4325855
Os01g0575200,,4326315
Os01g0590700,,9267860
Os01g0590700,,9267860
Os01g0601625,,9266262
Os01g0601675,,9268844
Os01g0618800,,
Os01g0618800,,
Os01g0621900,,
Os01g0621900,,
Os01g0621900,,
Os01g0621900,,
Os01g0622600,,4326638
Os01g0628700,,4326663
Os01g0628900,,4326664
Os01g0631200,00860+4.99.1.4+1.3.1.76+2.1.1.107,
Os01g0639100,,4326580
Os01g0647000,,4325927
Os01g0647000,,4325927
Os01g0654500,00720+1.1.1.42,4324176
Os01g0654500,00480+1.1.1.42,4324176
Os01g0654500,00020+1.1.1.42,4324176
Os01g0684900,,4324144
Os01g0686000,,4324107
Os01g0687600,,4324119
Os01g0689451,,4327944
Os01g0689451,,4327944
Os01g0689600,,4327945
Os01g0692300,,
Os01g0697100,,4325293
Os01g0700100,,4326923
Os01g0704300,,
Os01g0717000,,4325586
Os01g0717000,,4325586
Os01g0717000,,4325586
Os01g0717400,,4325587
Os01g0717700,,4325589
Os01g0719300,,4324697
Os01g0719600,,4324699
Os01g0723100,,4324670
Os01g0725800,,
Os01g0727800,,
Os01g0727840,,
Os01g0732000,,4324434
Os01g0735300,,4324167
Os01g0739200,,4327199
Os01g0739400,,
Os01g0739500,,4327202
Os01g0749400,00500+2.4.1.15,4324621
Os01g0750300,,4324625
Os01g0750300,,4324625
Os01g0750300,,4324625
Os01g0760600,00350+2.6.1.1,4325621
Os01g0760600,00220+2.6.1.1,4325621
Os01g0760600,00950+2.6.1.1,4325621
Os01g0760600,00270+2.6.1.1,4325621
Os01g0760600,00250+2.6.1.1,4325621
Os01g0760600,00330+2.6.1.1,4325621
Os01g0760600,00400+2.6.1.1,4325621
Os01g0760600,00710+2.6.1.1,4325621
Os01g0760600,00360+2.6.1.1,4325621
Os01g0760600,00401+2.6.1.1,4325621
Os01g0760600,00960+2.6.1.1,4325621
Os01g0760600,00350+2.6.1.1,4325621
Os01g0760600,00220+2.6.1.1,4325621
Os01g0760600,00950+2.6.1.1,4325621
Os01g0760600,00270+2.6.1.1,4325621
Os01g0760600,00250+2.6.1.1,4325621
Os01g0760600,00330+2.6.1.1,4325621
Os01g0760600,00400+2.6.1.1,4325621
Os01g0760600,00710+2.6.1.1,4325621
Os01g0760600,00360+2.6.1.1,4325621
Os01g0760600,00401+2.6.1.1,4325621
Os01g0760600,00960+2.6.1.1,4325621
Os01g0760600,00350+2.6.1.1,4325621
Os01g0760600,00220+2.6.1.1,4325621
Os01g0760600,00950+2.6.1.1,4325621
Os01g0760600,00270+2.6.1.1,4325621
Os01g0760600,00250+2.6.1.1,4325621
Os01g0760600,00330+2.6.1.1,4325621
Os01g0760600,00400+2.6.1.1,4325621
Os01g0760600,00710+2.6.1.1,4325621
Os01g0760600,00360+2.6.1.1,4325621
Os01g0760600,00401+2.6.1.1,4325621
Os01g0760600,00960+2.6.1.1,4325621
Os01g0760600,00350+2.6.1.1,4325621
Os01g0760600,00220+2.6.1.1,4325621
Os01g0760600,00950+2.6.1.1,4325621
Os01g0760600,00270+2.6.1.1,4325621
Os01g0760600,00250+2.6.1.1,4325621
Os01g0760600,00330+2.6.1.1,4325621
Os01g0760600,00400+2.6.1.1,4325621
Os01g0760600,00710+2.6.1.1,4325621
Os01g0760600,00360+2.6.1.1,4325621
Os01g0760600,00401+2.6.1.1,4325621
Os01g0760600,00960+2.6.1.1,4325621
Os01g0762000,,
Os01g0762000,,
Os01g0786800,,
Os01g0795100,,
Os01g0803200,,4327535
Os01g0803200,,4327535
Os01g0805400,,4327545
Os01g0814400,,
Os01g0814400,,
Os01g0814400,,
Os01g0814800,00920+2.5.1.47,4327479
Os01g0814800,00270+2.5.1.47,4327479
Os01g0816100,,4327485
Os01g0823100,,4327568
Os01g0824700,,4327578
Os01g0826900,,
Os01g0830900,,107277512
Os01g0835600,,4327454
Os01g0835600,,4327454
Os01g0835600,,4327454
Os01g0835600,,4327454
Os01g0846300,04658+3.1.3.16,4327465
Os01g0846300,04660+3.1.3.16,4327465
