Gene stable ID	NCBI gene ID	KEGG Pathway and Enzyme ID
Os01g0100900	4326459	
Os01g0104200		
Os01g0104800	4326297	
Os01g0104800	4326297	
Os01g0106500	9270828	
Os01g0108400		
Os01g0110400	4326136	
Os01g0113500		
Os01g0113800	4326102	
Os01g0114400		
Os01g0114900		
Os01g0115600	4326086	
Os01g0115700		
Os01g0116000		
Os01g0116200	4326092	
Os01g0116900		
Os01g0117100		
Os01g0117200		
Os01g0117300		
Os01g0117500		
Os01g0117700		
Os01g0118700	4326079	
Os01g0120400	4326034	00970+6.1.1.7
Os01g0120400	4326034	00970+6.1.1.7
Os01g0128200	4325994	
Os01g0128300	4325995	
Os01g0132100		
Os01g0137400		
Os01g0137950		
Os01g0138300	4325680	05170+2.7.11.1
Os01g0138300	4325680	05163+2.7.11.1
Os01g0138300	4325680	04150+2.7.11.1
Os01g0138300	4325680	04714+2.7.11.1
Os01g0138300	4325680	05165+2.7.11.1
Os01g0138300	4325680	04926+2.7.11.1
Os01g0138300	4325680	04151+2.7.11.1
Os01g0138300	4325680	05170+2.7.11.1
Os01g0138300	4325680	05163+2.7.11.1
Os01g0138300	4325680	04150+2.7.11.1
Os01g0138300	4325680	04714+2.7.11.1
Os01g0138300	4325680	05165+2.7.11.1
Os01g0138300	4325680	04926+2.7.11.1
Os01g0138300	4325680	04151+2.7.11.1
Os01g0138900		
Os01g0149900	4324515	
Os01g0162200		
Os01g0172100	4327644	
Os01g0173100	4327120	
Os01g0173900	4327122	
Os01g0175850		
Os01g0176000	4326218	
Os01g0176100	4326219	
Os01g0176200	4326220	
Os01g0176200	4326220	
Os01g0178000	4323866	
Os01g0178000	4323866	
Os01g0179800	4325348	
Os01g0188100	4326767	
Os01g0190000		
Os01g0200700		
Os01g0207300	4327097	00270+2.5.1.6
Os01g0209700	4325537	
Os01g0217500	4324580	
Os01g0221400	9272458	
Os01g0225000	4326735	
Os01g0227100	4327178	
Os01g0227100	4327178	
Os01g0229900	9272170	
Os01g0229900	9272170	
Os01g0229900	9272170	
Os01g0233900		
Os01g0235100	4327776	
Os01g0248300	4327212	
Os01g0248500	4327214	
Os01g0256500	4327719	
Os01g0265200		
Os01g0265700	4326211	
Os01g0271200	4325167	00860+6.1.1.17
Os01g0271200	4325167	00970+6.1.1.17
Os01g0275900		
Os01g0276700	4324263	00230+2.7.1.40
Os01g0276700	4324263	00010+2.7.1.40
Os01g0276700	4324263	00620+2.7.1.40
Os01g0276700	4324263	00230+2.7.1.40
Os01g0276700	4324263	00010+2.7.1.40
Os01g0276700	4324263	00620+2.7.1.40
Os01g0276700	4324263	00230+2.7.1.40
Os01g0276700	4324263	00010+2.7.1.40
Os01g0276700	4324263	00620+2.7.1.40
Os01g0276700	4324263	00230+2.7.1.40
Os01g0276700	4324263	00010+2.7.1.40
Os01g0276700	4324263	00620+2.7.1.40
Os01g0276800	4324264	
Os01g0276800	4324264	
Os01g0276800	4324264	
Os01g0276800	4324264	
Os01g0276800	4324264	
Os01g0280400	4326909	
Os01g0281400	4326915	
Os01g0300600		
Os01g0311800	4327282	00040+3.1.1.11
