Gene stable ID	NCBI gene ID	KEGG Pathway and Enzyme ID
Os01g0101200		00270+3.1.3.77
Os01g0101200		00270+3.1.3.77
Os01g0102300	4326466	
Os01g0107000	9268894	
Os01g0107000	9268894	
Os01g0108400		
Os01g0109750	9266108	
Os01g0110400	4326136	
Os01g0111100		
Os01g0111900	9271945	
Os01g0112800		
Os01g0113350		
Os01g0113650	9269575	
Os01g0118400	4326077	
Os01g0120500	4326035	
Os01g0121100	4326040	
Os01g0121100	4326040	
Os01g0127300	4325986	
Os01g0128200	4325994	
Os01g0130200		
Os01g0133400		
Os01g0135900	4325695	
Os01g0135900	4325695	
Os01g0141600		
Os01g0142100	4325486	
Os01g0142100	4325486	
Os01g0144100	4325465	
Os01g0147900	4325211	00710+5.3.1.1
Os01g0147900	4325211	00051+5.3.1.1
Os01g0147900	4325211	00562+5.3.1.1
Os01g0147900	4325211	00010+5.3.1.1
Os01g0150000	4324516	
Os01g0150000	4324516	
Os01g0162200		
Os01g0164600	4324414	04658+3.1.3.16
Os01g0164600	4324414	04660+3.1.3.16
Os01g0168800	4325195	
Os01g0178500	4323871	
Os01g0180000	4325349	
Os01g0183300	4325335	
Os01g0188400	4326769	
Os01g0188400	4326769	
Os01g0190300	4326775	
Os01g0199400	4327343	
Os01g0199400	4327343	
Os01g0201100	4327067	
Os01g0202500		
Os01g0205300	4327085	
Os01g0208700	4325531	00680+4.1.1.31
Os01g0208700	4325531	00710+4.1.1.31
Os01g0208700	4325531	00620+4.1.1.31
Os01g0208700	4325531	00720+4.1.1.31
Os01g0210500	4325558	
Os01g0210600	4325559	
Os01g0214800	4325258	
Os01g0214800	4325258	
Os01g0214800	4325258	
Os01g0215000		
Os01g0215700	4325263	
Os01g0215700	4325263	
Os01g0218700	4324587	
Os01g0218700	4324587	
Os01g0221700		
Os01g0223200	4326704	
Os01g0228400	4327187	
Os01g0228600	4327189	
Os01g0228600	4327189	
Os01g0228600	4327189	
Os01g0232100		
Os01g0235100	4327776	
Os01g0235900	4327783	
Os01g0239200	4326365	
Os01g0255000	4327714	
Os01g0255100	4327715	
Os01g0262500		
Os01g0264100		
Os01g0264600	9267758	
Os01g0266800	4324377	
Os01g0273800	4325177	
Os01g0274100	4325178	
Os01g0276600	4324262	
Os01g0278900	4324275	
Os01g0278950		
Os01g0281000	4326912	
Os01g0286600	4327918	00860+1.3.3.4
Os01g0287600		00520+3.2.1.14
Os01g0295900		
Os01g0317500		
Os01g0317800	4327269	
Os01g0318000		
Os01g0321300		
Os01g0323300	4326994	
Os01g0328700	4326980	00620+1.8.1.4
Os01g0328700	4326980	00280+1.8.1.4
Os01g0328700	4326980	00640+1.8.1.4
Os01g0328700	4326980	00260+1.8.1.4
Os01g0328700	4326980	00020+1.8.1.4
Os01g0328700	4326980	00010+1.8.1.4
Os01g0342750		
Os01g0349800	4326475	
Os01g0358300	4326021	
Os01g0358700	4326023	
Os01g0359400	4326024	
Os01g0359400	4326024	
Os01g0359400	4326024	
Os01g0361500		
Os01g0367100	4325727	
Os01g0367100	4325727	
Os01g0367100	4325727	
Os01g0367100	4325727	
Os01g0376700		00500+3.1.3.24
Os01g0378100		00940+1.11.1.7
Os01g0382700	4325426	
Os01g0382700	4325426	
Os01g0384300	4325430	
Os01g0500900		00970+6.1.1.1
