Gene stable ID	NCBI gene ID	KEGG Pathway and Enzyme ID
Os01g0108400		
Os01g0113500		
Os01g0113800	4326102	
Os01g0114400		
Os01g0114900		
Os01g0115200		00970+6.3.5.7
Os01g0115600	4326086	
Os01g0115700		
Os01g0115900		
Os01g0116000		
Os01g0116200	4326092	
Os01g0116900		
Os01g0117100		
Os01g0117200		
Os01g0117300		
Os01g0117500		
Os01g0117700		
Os01g0120300		00970+6.1.1.4
Os01g0120500	4326035	
Os01g0121300	4326042	
Os01g0137400		
Os01g0137950		
Os01g0138300	4325680	05170+2.7.11.1
Os01g0138300	4325680	05163+2.7.11.1
Os01g0138300	4325680	04150+2.7.11.1
Os01g0138300	4325680	04714+2.7.11.1
Os01g0138300	4325680	05165+2.7.11.1
Os01g0138300	4325680	04926+2.7.11.1
Os01g0138300	4325680	04151+2.7.11.1
Os01g0138300	4325680	05170+2.7.11.1
Os01g0138300	4325680	05163+2.7.11.1
Os01g0138300	4325680	04150+2.7.11.1
Os01g0138300	4325680	04714+2.7.11.1
Os01g0138300	4325680	05165+2.7.11.1
Os01g0138300	4325680	04926+2.7.11.1
Os01g0138300	4325680	04151+2.7.11.1
Os01g0151500		00480+2.3.2.2+3.4.19.13
Os01g0151500		00430+2.3.2.2
Os01g0151500		00460+2.3.2.2
Os01g0151700	4324493	
Os01g0160100	4324066	
Os01g0160700		
Os01g0161000		
Os01g0175600		
Os01g0175700	107275818	
Os01g0179800	4325348	
Os01g0201200	4327068	
Os01g0207300	4327097	00270+2.5.1.6
Os01g0222600	4326700	
Os01g0262600	4325125	
Os01g0268100	4324386	
Os01g0314600		
Os01g0323600	4326996	00270+2.5.1.6
Os01g0357100	4326014	00920+1.8.1.2
Os01g0357100	4326014	00920+1.8.1.2
Os01g0358700	4326023	
Os01g0359400	4326024	
Os01g0359400	4326024	
Os01g0359400	4326024	
Os01g0382400	4325424	
Os01g0584900	4327651	
Os01g0601675	9268844	
Os01g0617650		
Os01g0627800	4326659	
Os01g0631200		00860+4.99.1.4+1.3.1.76+2.1.1.107
Os01g0669100	4326332	05170+2.7.11.1
Os01g0669100	4326332	05163+2.7.11.1
Os01g0669100	4326332	04150+2.7.11.1
Os01g0669100	4326332	04714+2.7.11.1
Os01g0669100	4326332	05165+2.7.11.1
Os01g0669100	4326332	04926+2.7.11.1
Os01g0669100	4326332	04151+2.7.11.1
Os01g0669100	4326332	05170+2.7.11.1
Os01g0669100	4326332	05163+2.7.11.1
Os01g0669100	4326332	04150+2.7.11.1
Os01g0669100	4326332	04714+2.7.11.1
Os01g0669100	4326332	05165+2.7.11.1
Os01g0669100	4326332	04926+2.7.11.1
Os01g0669100	4326332	04151+2.7.11.1
Os01g0670100	4326333	05170+2.7.11.1
Os01g0670100	4326333	05163+2.7.11.1
Os01g0670100	4326333	04150+2.7.11.1
Os01g0670100	4326333	04714+2.7.11.1
Os01g0670100	4326333	05165+2.7.11.1
Os01g0670100	4326333	04926+2.7.11.1
Os01g0670100	4326333	04151+2.7.11.1
Os01g0678000	4325269	
Os01g0678400		
Os01g0697100	4325293	
Os01g0713200		00500+3.2.1.39
Os01g0717000	4325586	
Os01g0717000	4325586	
Os01g0717000	4325586	
Os01g0717400	4325587	
Os01g0717700	4325589	
Os01g0719600	4324699	
Os01g0720400	4324704	
Os01g0725800		
Os01g0727800		
Os01g0727840		
Os01g0735300	4324167	
Os01g0736100	4327868	
Os01g0736100	4327868	
Os01g0759400	4325613	05170+2.7.11.1
Os01g0759400	4325613	05163+2.7.11.1
Os01g0759400	4325613	04150+2.7.11.1
Os01g0759400	4325613	04714+2.7.11.1
Os01g0759400	4325613	05165+2.7.11.1
Os01g0759400	4325613	04926+2.7.11.1
Os01g0759400	4325613	04151+2.7.11.1
Os01g0786800		
Os01g0795100		
Os01g0803200	4327535	
Os01g0803200	4327535	
Os01g0814400		
Os01g0814400		
Os01g0814400		
Os01g0814800	4327479	00920+2.5.1.47
Os01g0814800	4327479	00270+2.5.1.47
Os01g0823600	4327573	
Os01g0846300	4327465	04658+3.1.3.16
Os01g0846300	4327465	04660+3.1.3.16
Os01g0846300	4327465	04658+3.1.3.16
Os01g0846300	4327465	04660+3.1.3.16
Os01g0855200	4324827	
Os01g0876400	4325081	
Os01g0876400	4325081	
Os01g0876400	4325081	
Os01g0876400	4325081	
Os01g0905700	4325026	
Os01g0914100	4324342	
Os01g0914300	4324344	
Os01g0920100	4327740	
Os01g0923900	4327256	
Os01g0926600	4327242	
Os01g0937100	4326530	
Os01g0940800	4326519	00500+3.2.1.39
Os01g0941200	4326520	00500+3.2.1.39
Os01g0944700		00500+3.2.1.39
Os02g0101000	4327977	
Os02g0101000	4327977	
Os02g0114400		
Os02g0115600	4328072	
Os02g0115600	4328072	
Os02g0120000	4328108	
Os02g0121400		
Os02g0122500		
Os02g0122600	4328132	
