Gene stable ID	Gene name	Gene description	Oryza sativa Japonica Group gene stable ID	Oryza sativa Japonica Group gene name	%id. target Oryza sativa Japonica Group gene identical to query gene	%id. query gene identical to target Oryza sativa Japonica Group gene	Arabidopsis thaliana gene stable ID	Arabidopsis thaliana gene name	%id. target Arabidopsis thaliana gene identical to query gene	%id. query gene identical to target Arabidopsis thaliana gene
TraesCS1D02G130200		Peroxidase [Source:UniProtKB/TrEMBL;Acc:W5ANF5]	Os04g0688200		63.2184	63.2184				
TraesCS2A02G029600										
TraesCS2A02G319600										
TraesCS2A02G465300							AT4G05020	NDB2	41.1504	15.0242
TraesCS2A02G465300							AT2G20800	NDB4	40.708	15.8076
TraesCS2A02G465300							AT4G21490	NDB3	41.5929	16.2069
TraesCS2A02G466700			Os04g0622800		44.1113	66.2379				
TraesCS2A02G466700			Os04g0622000		29.9786	40.6977				
TraesCS2A02G466700			Os04g0623100		65.7388	67.3246				
TraesCS2A02G467100			Os02g0833600		55.7252	51.4085				
TraesCS2A02G510300										
TraesCS2B02G013000										
TraesCS2B02G058500							AT3G20460		44.4444	43.4426
TraesCS2B02G058500							AT3G05160		45.0734	46.9432
TraesCS2B02G058500							AT3G05165		43.3962	40.748
TraesCS2B02G058500							AT1G08930	ERD6	43.8155	42.1371
TraesCS2B02G058500							AT1G08920	ESL1	46.9602	46.9602
TraesCS2B02G058500							AT5G27360	SFP2	45.4927	41.2548
TraesCS2B02G058500							AT3G05400	SUGTL5	44.4444	45.8874
TraesCS2B02G058500							AT1G08900	SUGTL3	44.6541	46.1039
TraesCS2B02G058500							AT4G04750		44.2348	40.1141
TraesCS2B02G058500							AT3G05155		46.7505	48.5839
TraesCS2B02G058500							AT1G08890	SUGTL4	43.3962	44.6121
TraesCS2B02G058500							AT5G27350	SFP1	46.3312	46.6245
TraesCS2B02G058500							AT4G04760		44.4444	44.3515
TraesCS2B02G058500							AT1G54730		57.4423	58.2979
TraesCS2D02G009100										
TraesCS2D02G009200										
TraesCS2D02G029000			Os04g0181100		84.7134	84.7134	AT3G23180		30.5732	22.1198
TraesCS2D02G029000			Os04g0181100		84.7134	84.7134	AT4G14420		51.5924	51.2658
TraesCS2D02G029000			Os04g0181100		84.7134	84.7134	AT3G23175		26.7516	24.8521
TraesCS2D02G029000			Os04g0181100		84.7134	84.7134	AT3G23190		31.8471	23.1481
TraesCS2D02G042200										
TraesCS3D02G011900										
TraesCS3D02G474500										
TraesCS3D02G504400										
TraesCS4A02G232000			Os11g0265400		85.0153	84.7561	AT3G03350		29.9694	26.2032
TraesCS4A02G232000			Os11g0265400		85.0153	84.7561	AT3G03330		66.3609	66.1585
TraesCS4A02G459400										
TraesCS5A02G497200			Os03g0130700		56.5128	58.617	AT2G17550		23.6923	29.6534
TraesCS5A02G548600			Os03g0388900		65.3179	61.413				
TraesCS5B02G535100										
TraesCS5B02G550300			Os03g0848400		86.6359	86.6359	AT5G48660		62.212	61.6438
TraesCS6B02G071500			Os02g0208600		55.8664	67.7985	AT5G25520		26.7148	29.3942
TraesCS6B02G071500			Os02g0208600		55.8664	67.7985	AT3G29639		4.60289	28.1768
TraesCS6B02G071500			Os02g0208600		55.8664	67.7985	AT2G25640		21.1191	31.4094
TraesCS6B02G071500			Os02g0208600		55.8664	67.7985	AT5G11430		27.3466	34.7079
TraesCS6B02G072400			Os08g0158900		70.276	71.4903	AT1G80770	PDE318	49.6815	48.5477
TraesCS6B02G125600			Os02g0133100		54.9206	81.7967	AT4G39170	SFH6	63.3333	64.9837
TraesCS6B02G125600			Os02g0133100		54.9206	81.7967	AT1G75370		56.0317	52.8443
TraesCS6B02G125600			Os02g0133100		54.9206	81.7967	AT1G19650	SFH4	54.9206	56.9079
TraesCS6B02G125600			Os02g0133100		54.9206	81.7967	AT2G21520		63.0159	62.3234
TraesCS6B02G142700		Purple acid phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1D6AW67]	Os03g0568900		83.0898	84.6809	AT3G20500	PAP18	62.8392	68.8787
TraesCS6B02G148400										
TraesCS6B02G305000			Os11g0205500		27.7078	28.0971				
TraesCS6B02G389200			Os02g0794700		56.848	95.8861	AT4G30920	LAP2	74.1088	67.753
TraesCS6B02G389200			Os02g0794700		56.848	95.8861	AT2G24200	LAP1	72.045	73.8462
TraesCS6B02G389200			Os02g0794700		56.848	95.8861	AT4G30910		70.9193	62.5828
TraesCS6B02G404500							AT1G13690	ATE1	75.4601	69.4915
TraesCS7A02G415900										
TraesCS7D02G041100			Os08g0260800		48.2394	58.2979				
TraesCSU02G040100			Os01g0109300		84.9174	82.8629	AT5G40270		62.3967	63.8478
TraesCSU02G040100			Os01g0109300		84.9174	82.8629	AT5G40290		59.0909	63.8393
