##Databases: KEGG PATHWAY
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Biosynthesis of secondary metabolites	KEGG PATHWAY	osa01110	50	848	2.95421608372e-13	2.45199934949e-11	4344267|4347508|4328812|4324773|4331502|4331528|4335048|4325621|4346906|4334116|4342508|4331468|4327479|4331897|4337406|4332121|4350528|4352505|4342988|4337818|4339017|4331861|4331941|4328841|4352832|4352833|4345787|4350881|4350614|4333554|4344564|4327239|4340725|4328603|4349966|4328997|4326153|4334290|4345338|4332341|4324176|4328124|4325537|4352747|4350456|4331150|4348304|4328040|4339361|4331515	http://www.genome.jp/kegg-bin/show_pathway?osa01110/osa:4328812%09red/osa:4331515%09red/osa:4344564%09red/osa:4331150%09red/osa:4327239%09red/osa:4325537%09red/osa:4350456%09red/osa:4352833%09red/osa:4352832%09red/osa:4332121%09red/osa:4331897%09red/osa:4352505%09red/osa:4326153%09red/osa:4349966%09red/osa:4328603%09red/osa:4331528%09red/osa:4339361%09red/osa:4324176%09red/osa:4332341%09red/osa:4325621%09red/osa:4324773%09red/osa:4350528%09red/osa:4340725%09red/osa:4345338%09red/osa:4331941%09red/osa:4348304%09red/osa:4346906%09red/osa:4333554%09red/osa:4344267%09red/osa:4328124%09red/osa:4347508%09red/osa:4331861%09red/osa:4334290%09red/osa:4334116%09red/osa:4350881%09red/osa:4342988%09red/osa:4337406%09red/osa:4337818%09red/osa:4352747%09red/osa:4328040%09red/osa:4342508%09red/osa:4339017%09red/osa:4345787%09red/osa:4335048%09red/osa:4327479%09red/osa:4328997%09red/osa:4328841%09red/osa:4331502%09red/osa:4331468%09red/osa:4350614%09red
Metabolic pathways	KEGG PATHWAY	osa01100	70	1573	1.90192562889e-12	7.89299135991e-11	4344267|4347508|4347509|4328812|4325586|4324773|4333156|4331502|4331528|4335048|4331917|4332146|4325621|4346906|4334116|4342508|9268113|4331468|4327479|4331897|4337406|4340386|4332121|4335862|4350528|4352505|4333554|4352085|4342988|4345281|4337818|4339017|4342395|4331941|4328841|4352832|4352833|4334427|4345787|4350881|4331150|4350614|4349396|4330221|4344670|4334338|4344564|4327239|4350964|4340725|4328603|4349966|4328997|4326153|4334290|4345338|4330474|4332341|4324176|4352747|4350456|4334073|4341195|4324621|4328220|4348304|4331861|4325531|4339361|4331515	http://www.genome.jp/kegg-bin/show_pathway?osa01100/osa:4328812%09red/osa:4324621%09red/osa:4330221%09red/osa:4331917%09red/osa:4344564%09red/osa:4331150%09red/osa:4327239%09red/osa:4325531%09red/osa:4352832%09red/osa:4350456%09red/osa:4352833%09red/osa:4332146%09red/osa:4327479%09red/osa:4347509%09red/osa:4331897%09red/osa:4352505%09red/osa:4342395%09red/osa:4349966%09red/osa:4328841%09red/osa:4328603%09red/osa:4331528%09red/osa:4339361%09red/osa:4349396%09red/osa:4324176%09red/osa:4332341%09red/osa:4347508%09red/osa:4325621%09red/osa:4330474%09red/osa:4324773%09red/osa:4350528%09red/osa:4334073%09red/osa:4340725%09red/osa:4325586%09red/osa:4345338%09red/osa:4331515%09red/osa:4334427%09red/osa:4331941%09red/osa:4348304%09red/osa:4346906%09red/osa:4333554%09red/osa:4344670%09red/osa:4344267%09red/osa:4341195%09red/osa:4331861%09red/osa:4334290%09red/osa:4333156%09red/osa:4334116%09red/osa:4350881%09red/osa:4342988%09red/osa:4326153%09red/osa:4337406%09red/osa:4337818%09red/osa:4352747%09red/osa:4342508%09red/osa:4328220%09red/osa:4334338%09red/osa:4339017%09red/osa:4345787%09red/osa:4350964%09red/osa:9268113%09red/osa:4335048%09red/osa:4332121%09red/osa:4328997%09red/osa:4335862%09red/osa:4345281%09red/osa:4331502%09red/osa:4331468%09red/osa:4350614%09red/osa:4352085%09red/osa:4340386%09red
Carbon metabolism	KEGG PATHWAY	osa01200	22	235	7.4213466497e-10	2.05323923975e-08	4344267|4347508|4328812|4331528|4335048|4325621|4346906|4327479|4337406|4324773|4350528|4342988|4331861|4331941|4344564|4327239|4350964|4334290|4325531|4350456|4324176|4339361	http://www.genome.jp/kegg-bin/show_pathway?osa01200/osa:4328812%09red/osa:4344564%09red/osa:4327239%09red/osa:4325531%09red/osa:4350456%09red/osa:4347508%09red/osa:4331528%09red/osa:4324176%09red/osa:4344267%09red/osa:4325621%09red/osa:4324773%09red/osa:4350528%09red/osa:4331941%09red/osa:4346906%09red/osa:4331861%09red/osa:4334290%09red/osa:4342988%09red/osa:4337406%09red/osa:4350964%09red/osa:4335048%09red/osa:4327479%09red/osa:4339361%09red
Biosynthesis of amino acids	KEGG PATHWAY	osa01230	20	207	2.67561122659e-09	5.55189329517e-08	4347508|4331941|4331468|4327479|4352832|4352833|4332341|4337406|4324773|4350456|4331528|4335048|4328812|4344564|4331861|4327239|4350964|4324176|4325621|4346906	http://www.genome.jp/kegg-bin/show_pathway?osa01230/osa:4324773%09red/osa:4328812%09red/osa:4325621%09red/osa:4331861%09red/osa:4344564%09red/osa:4331941%09red/osa:4350964%09red/osa:4346906%09red/osa:4335048%09red/osa:4327479%09red/osa:4331528%09red/osa:4347508%09red/osa:4352832%09red/osa:4327239%09red/osa:4324176%09red/osa:4332341%09red/osa:4331468%09red/osa:4350456%09red/osa:4352833%09red/osa:4337406%09red
alpha-Linolenic acid metabolism	KEGG PATHWAY	osa00592	8	39	1.19023266385e-06	1.97578622199e-05	4328997|4328603|4328040|4332121|4350881|4352505|4331515|4331150	http://www.genome.jp/kegg-bin/show_pathway?osa00592/osa:4331515%09red/osa:4328603%09red/osa:4328040%09red/osa:4352505%09red/osa:4331150%09red/osa:4332121%09red/osa:4328997%09red/osa:4350881%09red
Cysteine and methionine metabolism	KEGG PATHWAY	osa00270	11	96	2.27124468214e-06	3.14188847696e-05	4331861|4331941|4327479|4352832|4352833|4352747|4331528|4335048|4341195|4337818|4325621	http://www.genome.jp/kegg-bin/show_pathway?osa00270/osa:4337818%09red/osa:4352747%09red/osa:4331528%09red/osa:4331941%09red/osa:4335048%09red/osa:4327479%09red/osa:4341195%09red/osa:4331861%09red/osa:4325621%09red/osa:4352833%09red/osa:4352832%09red
beta-Alanine metabolism	KEGG PATHWAY	osa00410	7	32	3.86690819413e-06	4.58504828733e-05	4349966|4344267|4337046|4337360|4345787|4340725|4341195	http://www.genome.jp/kegg-bin/show_pathway?osa00410/osa:4345787%09red/osa:4349966%09red/osa:4337046%09red/osa:4337360%09red/osa:4341195%09red/osa:4344267%09red/osa:4340725%09red
Arginine and proline metabolism	KEGG PATHWAY	osa00330	7	40	1.40545833883e-05	0.000145816302654	4349966|4337046|4337360|4333554|4340725|4325621|4341195	http://www.genome.jp/kegg-bin/show_pathway?osa00330/osa:4340725%09red/osa:4349966%09red/osa:4333554%09red/osa:4337360%09red/osa:4341195%09red/osa:4325621%09red/osa:4337046%09red
Sulfur metabolism	KEGG PATHWAY	osa00920	6	35	6.4789019831e-05	0.000597498738442	4331861|4331941|4327479|4331528|4335048|4334073	http://www.genome.jp/kegg-bin/show_pathway?osa00920/osa:4334073%09red/osa:4331528%09red/osa:4331941%09red/osa:4335048%09red/osa:4327479%09red/osa:4331861%09red
Fatty acid degradation	KEGG PATHWAY	osa00071	6	41	0.000141911916281	0.00117786890513	4349966|4344267|4328997|4350881|4340725|4331150	http://www.genome.jp/kegg-bin/show_pathway?osa00071/osa:4340725%09red/osa:4328997%09red/osa:4349966%09red/osa:4331150%09red/osa:4344267%09red/osa:4350881%09red
