fisher module not installed.  Falling back on scipy.stats.fisher_exact
/Users/rbadgami/go-basic.obo: fmt(1.2) rel(2019-03-19) 47,381 GO Terms
Study: 115 vs. Population 269428

fisher module not installed.  Falling back on scipy.stats.fisher_exact
1 GO IDs in assc. are not found in the GO-DAG: GO:0000991
 28% 75,453 of 269,428 population items found in association
 78%     90 of    115 study items found in association
100%    115 of    115 study items found in population(269428)
Calculating 6,425 uncorrected p-values using fisher_scipy_stats
   6,425 GO terms are associated with 75,453 of 269,428 population items
     515 GO terms are associated with     90 of    115 study items
      61 GO terms found significant (< 0.05=alpha) ( 61 enriched +   0 purified): local bonferroni
      63 GO terms found significant (< 0.05=alpha) ( 63 enriched +   0 purified): local sidak
      63 GO terms found significant (< 0.05=alpha) ( 63 enriched +   0 purified): local holm
     131 GO terms found significant (< 0.05=alpha) (131 enriched +   0 purified): statsmodels fdr_bh
    314 of 6,425 results have uncorrected P-values <= 0.05=pval

# Generated by GOATOOLS v0.8.12 (2019-07-27)
# min_ratio=None pval=0.05
GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_bonferroni	p_sidak	p_holm	p_fdr_bh	study_items
.GO:0008152	BP	e	metabolic process             	59/115	31891/269428	5.9e-25	1	59	3.79e-21	3.7e-21	3.79e-21	1.26e-21	TraesCS1A02G122500, TraesCS1A02G422900, TraesCS1B02G315700, TraesCS1B02G454200, TraesCS1D02G123700, TraesCS1D02G207000, TraesCS1D02G430700, TraesCS2A02G022700, TraesCS2A02G026600, TraesCS2A02G033600, TraesCS2A02G493600, TraesCS2B02G308500, TraesCS2B02G519000, TraesCS2B02G521600, TraesCS2D02G006500, TraesCS2D02G107600, TraesCS2D02G107800, TraesCS2D02G568300, TraesCS2D02G572600, TraesCS3A02G056000, TraesCS3A02G481600, TraesCS3A02G517100, TraesCS3D02G260300, TraesCS3D02G438600, TraesCS3D02G478000, TraesCS3D02G491400, TraesCS4A02G096500, TraesCS4A02G420600, TraesCS4A02G422100, TraesCS4A02G437100, TraesCS4B02G043300, TraesCS4B02G356800, TraesCS4B02G379500, TraesCS5A02G455800, TraesCS5B02G428400, TraesCS5D02G233600, TraesCS5D02G407400, TraesCS6A02G004500, TraesCS6A02G173700, TraesCS6A02G222800, TraesCS6A02G286900, TraesCS6B02G063900, TraesCS6B02G158300, TraesCS6B02G281000, TraesCS6B02G353200, TraesCS6D02G094700, TraesCS6D02G122800, TraesCS7A02G040400, TraesCS7A02G241100, TraesCS7A02G392800, TraesCS7A02G427100, TraesCS7A02G434100, TraesCS7A02G442500, TraesCS7A02G510200, TraesCS7B02G135900, TraesCS7B02G136600, TraesCS7B02G226200, TraesCS7D02G036700, TraesCS7D02G404900
GO:0008150	BP	e	biological_process            	64/115	44718/269428	1.98e-21	0	64	1.27e-17	1.24e-17	1.27e-17	3.18e-18	TraesCS1A02G122500, TraesCS1A02G422900, TraesCS1B02G315700, TraesCS1B02G454200, TraesCS1D02G123700, TraesCS1D02G207000, TraesCS1D02G430700, TraesCS2A02G022700, TraesCS2A02G026600, TraesCS2A02G033600, TraesCS2A02G493600, TraesCS2B02G308500, TraesCS2B02G519000, TraesCS2B02G521600, TraesCS2D02G006500, TraesCS2D02G107600, TraesCS2D02G107800, TraesCS2D02G144800, TraesCS2D02G568300, TraesCS2D02G569700, TraesCS2D02G572600, TraesCS3A02G056000, TraesCS3A02G058100, TraesCS3A02G481600, TraesCS3A02G517100, TraesCS3D02G105000, TraesCS3D02G260300, TraesCS3D02G438600, TraesCS3D02G478000, TraesCS3D02G491400, TraesCS4A02G096500, TraesCS4A02G420600, TraesCS4A02G422100, TraesCS4A02G437100, TraesCS4B02G043300, TraesCS4B02G356800, TraesCS4B02G379500, TraesCS5A02G455800, TraesCS5B02G428400, TraesCS5D02G233600, TraesCS5D02G407400, TraesCS6A02G004500, TraesCS6A02G173700, TraesCS6A02G222800, TraesCS6A02G286900, TraesCS6B02G063900, TraesCS6B02G158300, TraesCS6B02G281000, TraesCS6B02G353200, TraesCS6D02G094700, TraesCS6D02G122800, TraesCS7A02G040400, TraesCS7A02G241100, TraesCS7A02G363100, TraesCS7A02G392800, TraesCS7A02G427100, TraesCS7A02G434100, TraesCS7A02G442500, TraesCS7A02G510200, TraesCS7B02G135900, TraesCS7B02G136600, TraesCS7B02G226200, TraesCS7D02G036700, TraesCS7D02G404900
..GO:0071704	BP	e	organic substance metabolic process	39/115	23181/269428	2.76e-14	2	39	1.77e-10	1.73e-10	1.77e-10	3.55e-11	TraesCS1A02G422900, TraesCS1B02G315700, TraesCS1B02G454200, TraesCS1D02G123700, TraesCS1D02G207000, TraesCS1D02G430700, TraesCS2A02G022700, TraesCS2A02G033600, TraesCS2A02G493600, TraesCS2B02G308500, TraesCS2B02G521600, TraesCS2D02G572600, TraesCS3A02G056000, TraesCS3A02G481600, TraesCS3A02G517100, TraesCS3D02G260300, TraesCS3D02G438600, TraesCS3D02G478000, TraesCS3D02G491400, TraesCS4A02G420600, TraesCS4A02G422100, TraesCS4A02G437100, TraesCS4B02G043300, TraesCS4B02G356800, TraesCS4B02G379500, TraesCS5B02G428400, TraesCS6A02G004500, TraesCS6A02G173700, TraesCS6A02G222800, TraesCS6A02G286900, TraesCS6B02G281000, TraesCS7A02G241100, TraesCS7A02G392800, TraesCS7A02G427100, TraesCS7A02G434100, TraesCS7A02G442500, TraesCS7A02G510200, TraesCS7B02G136600, TraesCS7D02G036700
..GO:0044237	BP	e	cellular metabolic process    	35/115	21154/269428	1.45e-12	2	35	9.34e-09	9.1e-09	9.33e-09	1.04e-09	TraesCS1B02G315700, TraesCS1D02G123700, TraesCS1D02G207000, TraesCS2A02G033600, TraesCS2A02G493600, TraesCS2B02G308500, TraesCS2B02G521600, TraesCS2D02G107600, TraesCS2D02G107800, TraesCS2D02G572600, TraesCS3A02G056000, TraesCS3A02G517100, TraesCS3D02G260300, TraesCS3D02G438600, TraesCS3D02G491400, TraesCS4A02G420600, TraesCS4A02G437100, TraesCS4B02G043300, TraesCS4B02G379500, TraesCS5B02G428400, TraesCS6A02G004500, TraesCS6A02G173700, TraesCS6A02G222800, TraesCS6A02G286900, TraesCS6B02G063900, TraesCS6B02G281000, TraesCS7A02G040400, TraesCS7A02G241100, TraesCS7A02G392800, TraesCS7A02G427100, TraesCS7A02G434100, TraesCS7A02G442500, TraesCS7B02G136600, TraesCS7B02G226200, TraesCS7D02G036700
.GO:0009987	BP	e	cellular process              	37/115	25125/269428	8.52e-12	1	37	5.47e-08	5.33e-08	5.46e-08	5.47e-09	TraesCS1B02G315700, TraesCS1D02G123700, TraesCS1D02G207000, TraesCS2A02G033600, TraesCS2A02G493600, TraesCS2B02G308500, TraesCS2B02G521600, TraesCS2D02G107600, TraesCS2D02G107800, TraesCS2D02G569700, TraesCS2D02G572600, TraesCS3A02G056000, TraesCS3A02G058100, TraesCS3A02G517100, TraesCS3D02G260300, TraesCS3D02G438600, TraesCS3D02G491400, TraesCS4A02G420600, TraesCS4A02G437100, TraesCS4B02G043300, TraesCS4B02G379500, TraesCS5B02G428400, TraesCS6A02G004500, TraesCS6A02G173700, TraesCS6A02G222800, TraesCS6A02G286900, TraesCS6B02G063900, TraesCS6B02G281000, TraesCS7A02G040400, TraesCS7A02G241100, TraesCS7A02G392800, TraesCS7A02G427100, TraesCS7A02G434100, TraesCS7A02G442500, TraesCS7B02G136600, TraesCS7B02G226200, TraesCS7D02G036700
..GO:0044238	BP	e	primary metabolic process     	34/115	22088/269428	2.42e-11	2	34	1.55e-07	1.51e-07	1.55e-07	1.41e-08	TraesCS1A02G422900, TraesCS1B02G315700, TraesCS1B02G454200, TraesCS1D02G123700, TraesCS1D02G207000, TraesCS1D02G430700, TraesCS2A02G022700, TraesCS2A02G033600, TraesCS2A02G493600, TraesCS2B02G308500, TraesCS2B02G521600, TraesCS2D02G572600, TraesCS3A02G056000, TraesCS3A02G481600, TraesCS3A02G517100, TraesCS3D02G260300, TraesCS3D02G438600, TraesCS3D02G478000, TraesCS4A02G422100, TraesCS4A02G437100, TraesCS4B02G043300, TraesCS4B02G356800, TraesCS5B02G428400, TraesCS6A02G004500, TraesCS6A02G222800, TraesCS6A02G286900, TraesCS6B02G281000, TraesCS7A02G241100, TraesCS7A02G392800, TraesCS7A02G427100, TraesCS7A02G434100, TraesCS7A02G510200, TraesCS7B02G136600, TraesCS7D02G036700
..GO:0009056	BP	e	catabolic process             	12/115	2475/269428	9.08e-10	2	12	5.83e-06	5.69e-06	5.82e-06	3.69e-07	TraesCS1D02G123700, TraesCS1D02G207000, TraesCS2A02G022700, TraesCS2A02G033600, TraesCS2A02G493600, TraesCS2B02G521600, TraesCS2D02G107600, TraesCS2D02G107800, TraesCS3D02G260300, TraesCS4B02G043300, TraesCS6A02G222800, TraesCS6B02G063900
....GO:1901565	BP	e	organonitrogen compound catabolic process	7/115	428/269428	9.19e-10	4	7	5.9e-06	5.75e-06	5.89e-06	3.69e-07	TraesCS1D02G207000, TraesCS2A02G022700, TraesCS2A02G033600, TraesCS2A02G493600, TraesCS2B02G521600, TraesCS3D02G260300, TraesCS6A02G222800
...GO:0005975	BP	e	carbohydrate metabolic process	12/115	2557/269428	1.31e-09	3	12	8.39e-06	8.17e-06	8.36e-06	4.66e-07	TraesCS1A02G422900, TraesCS1B02G454200, TraesCS1D02G123700, TraesCS1D02G207000, TraesCS1D02G430700, TraesCS2A02G033600, TraesCS3A02G481600, TraesCS3D02G260300, TraesCS3D02G478000, TraesCS4B02G356800, TraesCS6A02G286900, TraesCS7A02G427100
....GO:1901136	BP	e	carbohydrate derivative catabolic process	5/115	122/269428	2.58e-09	4	5	1.66e-05	1.62e-05	1.66e-05	8.62e-07	TraesCS1D02G207000, TraesCS2A02G033600, TraesCS2A02G493600, TraesCS2B02G521600, TraesCS3D02G260300
