GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_bonferroni	p_sidak	p_holm	p_fdr_bh	study_items
GO:1901564	BP	e	organonitrogen compound metabolic process	76/544	13885/269428	5.52e-15	3	76	3.55e-11	3.46e-11	3.53e-11	1.22e-12	TraesCS1A02G291200, TraesCS1A02G304900, TraesCS1A02G433500, TraesCS1B02G036700, TraesCS1B02G233200, TraesCS1B02G434000, TraesCS1B02G476600, TraesCS1D02G141800, TraesCS2A02G022700, TraesCS2A02G125200, TraesCS2A02G381100, TraesCS2A02G566600, TraesCS2B02G084000, TraesCS2B02G084100, TraesCS2D02G145300, TraesCS2D02G493600, TraesCS2D02G571100, TraesCS2D02G572300, TraesCS2D02G572600, TraesCS3A02G040800, TraesCS3A02G049600, TraesCS3A02G283600, TraesCS3A02G305400, TraesCS3B02G005000, TraesCS3B02G005100, TraesCS3B02G055700, TraesCS3B02G055835, TraesCS3B02G056500, TraesCS3B02G481000, TraesCS3D02G001500, TraesCS3D02G003200, TraesCS3D02G003800, TraesCS3D02G020200, TraesCS3D02G022200, TraesCS3D02G039300, TraesCS3D02G040800, TraesCS3D02G192800, TraesCS3D02G438600, TraesCS3D02G493700, TraesCS4A02G187300, TraesCS4A02G252800, TraesCS4A02G422100, TraesCS4A02G465900, TraesCS4B02G062500, TraesCS4B02G311100, TraesCS4D02G263500, TraesCS5A02G014400, TraesCS5A02G321300, TraesCS5A02G375000, TraesCS5A02G413900, TraesCS5B02G042800, TraesCS5B02G056700, TraesCS5B02G376900, TraesCS5B02G428400, TraesCS5D02G019400, TraesCS5D02G328100, TraesCS6A02G004500, TraesCS6A02G008400, TraesCS6A02G058500, TraesCS6A02G385000, TraesCS6B02G041500, TraesCS6B02G152700, TraesCS6D02G371300, TraesCS6D02G375700, TraesCS6D02G381300, TraesCS6D02G389600, TraesCS7A02G003600, TraesCS7A02G020600, TraesCS7A02G347800, TraesCS7A02G392800, TraesCS7A02G434100, TraesCS7A02G442500, TraesCS7A02G510200, TraesCS7A02G536900, TraesCS7B02G333700, TraesCS7D02G036700
GO:0043170	BP	e	macromolecule metabolic process	77/544	17252/269428	9.92e-11	3	77	6.37e-07	6.21e-07	6.34e-07	1.77e-08	TraesCS1A02G304900, TraesCS1A02G433500, TraesCS1B02G036700, TraesCS1B02G233200, TraesCS1B02G434000, TraesCS1B02G476600, TraesCS1D02G072900, TraesCS2A02G022700, TraesCS2A02G101400, TraesCS2A02G125200, TraesCS2A02G566600, TraesCS2B02G084000, TraesCS2B02G084100, TraesCS2D02G145300, TraesCS2D02G571100, TraesCS2D02G572300, TraesCS2D02G572600, TraesCS3A02G040800, TraesCS3A02G049600, TraesCS3A02G056000, TraesCS3A02G167200, TraesCS3A02G283600, TraesCS3A02G339600, TraesCS3B02G005000, TraesCS3B02G005100, TraesCS3B02G039700, TraesCS3B02G055700, TraesCS3B02G055835, TraesCS3B02G056500, TraesCS3B02G123500, TraesCS3B02G481000, TraesCS3D02G003200, TraesCS3D02G003800, TraesCS3D02G020200, TraesCS3D02G022200, TraesCS3D02G039300, TraesCS3D02G040800, TraesCS3D02G173300, TraesCS3D02G438600, TraesCS4A02G187300, TraesCS4A02G252800, TraesCS4A02G373100, TraesCS4A02G422100, TraesCS4A02G437100, TraesCS4A02G465900, TraesCS4B02G062500, TraesCS4B02G329100, TraesCS5A02G321300, TraesCS5A02G413900, TraesCS5B02G042800, TraesCS5B02G056700, TraesCS5B02G428400, TraesCS5D02G019400, TraesCS5D02G328100, TraesCS6A02G004500, TraesCS6A02G008400, TraesCS6A02G058500, TraesCS6A02G385000, TraesCS6B02G005300, TraesCS6B02G041500, TraesCS6B02G152700, TraesCS6D02G371300, TraesCS6D02G375700, TraesCS6D02G381300, TraesCS6D02G389600, TraesCS7A02G020600, TraesCS7A02G030500, TraesCS7A02G128800, TraesCS7A02G347800, TraesCS7A02G427100, TraesCS7A02G434100, TraesCS7A02G510200, TraesCS7B02G333700, TraesCS7D02G015500, TraesCS7D02G036700, TraesCS7D02G263800, TraesCSU02G002300
GO:0006793	BP	e	phosphorus metabolic process  	42/544	7310/269428	2.5e-09	3	42	1.6e-05	1.56e-05	1.59e-05	3.91e-07	TraesCS1A02G433500, TraesCS1B02G036700, TraesCS1B02G107600, TraesCS2B02G084000, TraesCS2B02G084100, TraesCS2B02G084200, TraesCS2D02G145300, TraesCS2D02G571100, TraesCS2D02G571300, TraesCS2D02G572600, TraesCS3A02G049600, TraesCS3B02G005000, TraesCS3B02G005100, TraesCS3B02G055700, TraesCS3B02G055835, TraesCS3B02G056500, TraesCS3B02G481000, TraesCS3D02G001500, TraesCS3D02G040800, TraesCS3D02G192800, TraesCS3D02G312000, TraesCS3D02G432600, TraesCS3D02G438600, TraesCS3D02G493700, TraesCS4A02G187300, TraesCS4A02G465900, TraesCS5A02G014400, TraesCS5A02G413900, TraesCS5B02G056700, TraesCS5B02G428400, TraesCS5D02G019400, TraesCS6A02G004500, TraesCS6A02G008400, TraesCS6A02G058500, TraesCS6A02G385000, TraesCS6B02G152700, TraesCS6D02G375700, TraesCS6D02G381300, TraesCS7A02G040400, TraesCS7A02G434100, TraesCS7B02G333700, TraesCS7D02G036700
GO:0006082	BP	e	organic acid metabolic process	18/544	1927/269428	1.33e-07	3	18	0.000857	0.000835	0.000849	1.53e-05	TraesCS1A02G291200, TraesCS1B02G233200, TraesCS1D02G141800, TraesCS2A02G381100, TraesCS2D02G493600, TraesCS3A02G305400, TraesCS3D02G022200, TraesCS3D02G192800, TraesCS3D02G237500, TraesCS3D02G432600, TraesCS4D02G263500, TraesCS5A02G014400, TraesCS5A02G375000, TraesCS5B02G042800, TraesCS5B02G376900, TraesCS7A02G003600, TraesCS7A02G392800, TraesCS7B02G044200
GO:1901576	BP	e	organic substance biosynthetic process	37/544	7164/269428	3.11e-07	3	37	0.002	0.00195	0.00198	3.34e-05	TraesCS1B02G107600, TraesCS1B02G233200, TraesCS1D02G072900, TraesCS1D02G141800, TraesCS2A02G101400, TraesCS2A02G125200, TraesCS2A02G381100, TraesCS2D02G493600, TraesCS2D02G572300, TraesCS3A02G056000, TraesCS3A02G167200, TraesCS3A02G339600, TraesCS3B02G123500, TraesCS3D02G001500, TraesCS3D02G003200, TraesCS3D02G003800, TraesCS3D02G020200, TraesCS3D02G173300, TraesCS3D02G432600, TraesCS3D02G493700, TraesCS4A02G373100, TraesCS4B02G329100, TraesCS4D02G263500, TraesCS5A02G375000, TraesCS5B02G042800, TraesCS5B02G376900, TraesCS5D02G540800, TraesCS6A02G173700, TraesCS6B02G005300, TraesCS6B02G041500, TraesCS7A02G013400, TraesCS7A02G030500, TraesCS7A02G128800, TraesCS7A02G392800, TraesCS7A02G442500, TraesCS7D02G263800, TraesCS7D02G269600
GO:0044249	BP	e	cellular biosynthetic process 	36/544	6986/269428	4.74e-07	3	36	0.00305	0.00297	0.00302	4.91e-05	TraesCS1B02G107600, TraesCS1B02G233200, TraesCS1D02G072900, TraesCS1D02G141800, TraesCS2A02G101400, TraesCS2A02G125200, TraesCS2A02G381100, TraesCS2D02G493600, TraesCS2D02G572300, TraesCS3A02G056000, TraesCS3A02G167200, TraesCS3A02G339600, TraesCS3B02G123500, TraesCS3D02G001500, TraesCS3D02G003200, TraesCS3D02G003800, TraesCS3D02G020200, TraesCS3D02G173300, TraesCS3D02G432600, TraesCS3D02G493700, TraesCS4A02G373100, TraesCS4B02G329100, TraesCS4D02G263500, TraesCS5A02G375000, TraesCS5B02G042800, TraesCS5B02G376900, TraesCS6A02G173700, TraesCS6B02G005300, TraesCS6B02G041500, TraesCS6D02G371300, TraesCS7A02G030500, TraesCS7A02G128800, TraesCS7A02G392800, TraesCS7A02G442500, TraesCS7D02G263800, TraesCS7D02G269600
GO:1901360	BP	e	organic cyclic compound metabolic process	34/544	6937/269428	3.59e-06	3	34	0.0231	0.0225	0.0228	0.000325	TraesCS1B02G233200, TraesCS1D02G072900, TraesCS2A02G101400, TraesCS2A02G381100, TraesCS2D02G493600, TraesCS3A02G056000, TraesCS3A02G167200, TraesCS3A02G339600, TraesCS3B02G039700, TraesCS3B02G123500, TraesCS3D02G001500, TraesCS3D02G022200, TraesCS3D02G173300, TraesCS3D02G192800, TraesCS3D02G432600, TraesCS3D02G493700, TraesCS4A02G373100, TraesCS4A02G437100, TraesCS4B02G311100, TraesCS4B02G329100, TraesCS5A02G014400, TraesCS5A02G375000, TraesCS5B02G042800, TraesCS5B02G376900, TraesCS5D02G540800, TraesCS6A02G173700, TraesCS6B02G005300, TraesCS7A02G003600, TraesCS7A02G128800, TraesCS7A02G392800, TraesCS7D02G015500, TraesCS7D02G073400, TraesCS7D02G263800, TraesCSU02G002300
GO:0044282	BP	e	small molecule catabolic process	6/544	248/269428	1.33e-05	3	6	0.0852	0.083	0.0841	0.00106	TraesCS2A02G381100, TraesCS2B02G084200, TraesCS5A02G375000, TraesCS5B02G376900, TraesCS7A02G003600, TraesCS7B02G044200
GO:0006725	BP	e	cellular aromatic compound metabolic process	32/544	6796/269428	1.35e-05	3	32	0.0865	0.0844	0.0855	0.00107	TraesCS1B02G233200, TraesCS1D02G072900, TraesCS2A02G101400, TraesCS2A02G381100, TraesCS2D02G493600, TraesCS3A02G056000, TraesCS3A02G167200, TraesCS3A02G339600, TraesCS3B02G039700, TraesCS3B02G123500, TraesCS3D02G001500, TraesCS3D02G022200, TraesCS3D02G173300, TraesCS3D02G192800, TraesCS3D02G432600, TraesCS3D02G493700, TraesCS4A02G373100, TraesCS4A02G437100, TraesCS4B02G311100, TraesCS4B02G329100, TraesCS5A02G014400, TraesCS5B02G042800, TraesCS6A02G173700, TraesCS6B02G005300, TraesCS7A02G003600, TraesCS7A02G128800, TraesCS7A02G392800, TraesCS7A02G536900, TraesCS7D02G015500, TraesCS7D02G073400, TraesCS7D02G263800, TraesCSU02G002300
GO:0050794	BP	e	regulation of cellular process	32/544	7070/269428	3.49e-05	3	32	0.224	0.219	0.221	0.00249	TraesCS1A02G265600, TraesCS1B02G036700, TraesCS1B02G276500, TraesCS1B02G276900, TraesCS1D02G072900, TraesCS2A02G101400, TraesCS2A02G245100, TraesCS2A02G569300, TraesCS2B02G627900, TraesCS2D02G144800, TraesCS2D02G503600, TraesCS2D02G568600, TraesCS3A02G056000, TraesCS3A02G167200, TraesCS3A02G173300, TraesCS3A02G339600, TraesCS3B02G123500, TraesCS3B02G204200, TraesCS3D02G094200, TraesCS3D02G173300, TraesCS3D02G179800, TraesCS4A02G187300, TraesCS4A02G373100, TraesCS4B02G101800, TraesCS4B02G329100, TraesCS5A02G533500, TraesCS6B02G005300, TraesCS6B02G412300, TraesCS6D02G358700, TraesCS6D02G371300, TraesCS7A02G128800, TraesCS7D02G263800
GO:0034975	BP	e	protein folding in endoplasmic reticulum	2/544	6/269428	6.07e-05	3	2	0.39	0.38	0.384	0.00375	TraesCS4B02G101800, TraesCS6B02G058300
GO:0019222	BP	e	regulation of metabolic process	27/544	5695/269428	6.19e-05	3	27	0.398	0.388	0.391	0.00375	TraesCS1A02G265600, TraesCS1A02G445500, TraesCS1B02G276500, TraesCS1B02G276900, TraesCS1D02G072900, TraesCS2A02G101400, TraesCS2A02G245100, TraesCS2D02G144800, TraesCS2D02G568600, TraesCS3A02G056000, TraesCS3A02G167200, TraesCS3A02G173300, TraesCS3A02G339600, TraesCS3B02G123500, TraesCS3B02G204200, TraesCS3D02G094200, TraesCS3D02G173300, TraesCS3D02G179800, TraesCS4A02G373100, TraesCS4B02G329100, TraesCS5A02G533500, TraesCS6B02G005300, TraesCS6B02G412300, TraesCS6D02G358700, TraesCS6D02G371300, TraesCS7A02G128800, TraesCS7D02G263800
