fisher module not installed.  Falling back on scipy.stats.fisher_exact
/Users/rbadgami/go-basic.obo: fmt(1.2) rel(2019-03-19) 47,381 GO Terms
Study: 141 vs. Population 269428

fisher module not installed.  Falling back on scipy.stats.fisher_exact
1 GO IDs in assc. are not found in the GO-DAG: GO:0000991
 28% 75,453 of 269,428 population items found in association
 73%    103 of    141 study items found in association
100%    141 of    141 study items found in population(269428)
Calculating 6,425 uncorrected p-values using fisher_scipy_stats
   6,425 GO terms are associated with 75,453 of 269,428 population items
     508 GO terms are associated with    103 of    141 study items
      29 GO terms found significant (< 0.05=alpha) ( 29 enriched +   0 purified): local bonferroni
      29 GO terms found significant (< 0.05=alpha) ( 29 enriched +   0 purified): local sidak
      29 GO terms found significant (< 0.05=alpha) ( 29 enriched +   0 purified): local holm
      66 GO terms found significant (< 0.05=alpha) ( 66 enriched +   0 purified): statsmodels fdr_bh
    240 of 6,425 results have uncorrected P-values <= 0.05=pval

# Generated by GOATOOLS v0.8.12 (2019-07-27)
# min_ratio=None pval=0.05
GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_bonferroni	p_sidak	p_holm	p_fdr_bh	study_items
GO:0008150	BP	e	biological_process            	72/141	44718/269428	5.48e-21	0	72	3.52e-17	3.43e-17	3.52e-17	3.52e-17	TraesCS1A02G086100, TraesCS1A02G152600, TraesCS1A02G277100, TraesCS1A02G300200, TraesCS1A02G326100, TraesCS1A02G406500, TraesCS1B02G310300, TraesCS1B02G367500, TraesCS1B02G367800, TraesCS1B02G436700, TraesCS1D02G096300, TraesCS1D02G312800, TraesCS2A02G009300, TraesCS2A02G031600, TraesCS2A02G094500, TraesCS2A02G199300, TraesCS2A02G324500, TraesCS2A02G467900, TraesCS2B02G011400, TraesCS2B02G013000, TraesCS2B02G109700, TraesCS2B02G623400, TraesCS2D02G009100, TraesCS2D02G010200, TraesCS2D02G027600, TraesCS2D02G139100, TraesCS2D02G525700, TraesCS3A02G001500, TraesCS3A02G021900, TraesCS3A02G204000, TraesCS3A02G434400, TraesCS3B02G039600, TraesCS3B02G091400, TraesCS3D02G150500, TraesCS4A02G020900, TraesCS4A02G287900, TraesCS4A02G301600, TraesCS4A02G315700, TraesCS4A02G442500, TraesCS4A02G495800, TraesCS4B02G262900, TraesCS4B02G286300, TraesCS4D02G366200, TraesCS5A02G030900, TraesCS5A02G100600, TraesCS5A02G166100, TraesCS5A02G332300, TraesCS5A02G362400, TraesCS5A02G365400, TraesCS5A02G428200, TraesCS5B02G102000, TraesCS5B02G516600, TraesCS5B02G535400, TraesCS5D02G170700, TraesCS5D02G338200, TraesCS5D02G452000, TraesCS6A02G047500, TraesCS6B02G022400, TraesCS6B02G063400, TraesCS6B02G389200, TraesCS6B02G404500, TraesCS6D02G060200, TraesCS6D02G350000, TraesCS7B02G190700, TraesCS7D02G032700, TraesCS7D02G130800, TraesCS7D02G155400, TraesCS7D02G419300, TraesCS7D02G548400, TraesCSU02G039800, TraesCSU02G115400, TraesCSU02G207500
.GO:0008152	BP	e	metabolic process             	51/141	31891/269428	6.78e-14	1	51	4.35e-10	4.24e-10	4.35e-10	1.09e-10	TraesCS1A02G086100, TraesCS1A02G152600, TraesCS1A02G326100, TraesCS1A02G406500, TraesCS1B02G367500, TraesCS1B02G367800, TraesCS1B02G436700, TraesCS1D02G096300, TraesCS1D02G312800, TraesCS2A02G009300, TraesCS2A02G094500, TraesCS2A02G324500, TraesCS2A02G467900, TraesCS2B02G011400, TraesCS2B02G109700, TraesCS2B02G623400, TraesCS2D02G010200, TraesCS2D02G027600, TraesCS2D02G139100, TraesCS2D02G525700, TraesCS3A02G001500, TraesCS3A02G021900, TraesCS3A02G204000, TraesCS3A02G434400, TraesCS3B02G039600, TraesCS3B02G091400, TraesCS3D02G150500, TraesCS4A02G020900, TraesCS4A02G301600, TraesCS4A02G315700, TraesCS4A02G442500, TraesCS4B02G286300, TraesCS4D02G366200, TraesCS5A02G362400, TraesCS5A02G365400, TraesCS5A02G428200, TraesCS5B02G102000, TraesCS5B02G516600, TraesCS5B02G535400, TraesCS6A02G047500, TraesCS6B02G022400, TraesCS6B02G063400, TraesCS6B02G389200, TraesCS6B02G404500, TraesCS6D02G350000, TraesCS7B02G190700, TraesCS7D02G032700, TraesCS7D02G155400, TraesCS7D02G419300, TraesCS7D02G548400, TraesCSU02G115400
..GO:0071704	BP	e	organic substance metabolic process	33/141	23181/269428	9.77e-08	2	33	0.000627	0.000612	0.000626	3.3e-05	TraesCS1A02G086100, TraesCS1A02G152600, TraesCS1A02G406500, TraesCS1B02G367500, TraesCS1B02G367800, TraesCS1B02G436700, TraesCS1D02G312800, TraesCS2A02G009300, TraesCS2A02G094500, TraesCS2A02G467900, TraesCS2B02G011400, TraesCS2B02G109700, TraesCS2B02G623400, TraesCS2D02G010200, TraesCS2D02G525700, TraesCS3A02G001500, TraesCS3A02G204000, TraesCS3A02G434400, TraesCS3B02G039600, TraesCS3D02G150500, TraesCS4A02G020900, TraesCS4A02G315700, TraesCS4B02G286300, TraesCS5A02G365400, TraesCS5B02G102000, TraesCS5B02G535400, TraesCS6B02G389200, TraesCS6B02G404500, TraesCS6D02G350000, TraesCS7D02G032700, TraesCS7D02G419300, TraesCS7D02G548400, TraesCSU02G115400
..GO:0044238	BP	e	primary metabolic process     	32/141	22088/269428	1.08e-07	2	32	0.000693	0.000676	0.000691	3.47e-05	TraesCS1A02G086100, TraesCS1A02G152600, TraesCS1A02G406500, TraesCS1B02G367500, TraesCS1B02G367800, TraesCS1B02G436700, TraesCS1D02G312800, TraesCS2A02G009300, TraesCS2A02G094500, TraesCS2A02G467900, TraesCS2B02G011400, TraesCS2B02G109700, TraesCS2B02G623400, TraesCS2D02G010200, TraesCS2D02G525700, TraesCS3A02G001500, TraesCS3A02G204000, TraesCS3A02G434400, TraesCS3B02G039600, TraesCS3D02G150500, TraesCS4A02G315700, TraesCS4B02G286300, TraesCS5A02G365400, TraesCS5B02G102000, TraesCS5B02G535400, TraesCS6B02G389200, TraesCS6B02G404500, TraesCS6D02G350000, TraesCS7D02G032700, TraesCS7D02G419300, TraesCS7D02G548400, TraesCSU02G115400
.GO:0009987	BP	e	cellular process              	34/141	25125/269428	1.98e-07	1	34	0.00127	0.00124	0.00127	6.05e-05	TraesCS1A02G152600, TraesCS1A02G300200, TraesCS1A02G326100, TraesCS1A02G406500, TraesCS1B02G310300, TraesCS1B02G436700, TraesCS1D02G096300, TraesCS2A02G009300, TraesCS2A02G031600, TraesCS2A02G199300, TraesCS2A02G467900, TraesCS2B02G011400, TraesCS2B02G623400, TraesCS2D02G010200, TraesCS3A02G001500, TraesCS3A02G204000, TraesCS3A02G434400, TraesCS3B02G039600, TraesCS4A02G315700, TraesCS4A02G495800, TraesCS4B02G286300, TraesCS5A02G365400, TraesCS5A02G428200, TraesCS5B02G102000, TraesCS5B02G516600, TraesCS5B02G535400, TraesCS5D02G452000, TraesCS6A02G047500, TraesCS6B02G063400, TraesCS6B02G404500, TraesCS6D02G350000, TraesCS7D02G032700, TraesCS7D02G419300, TraesCSU02G115400
....GO:0055085	BP	e	transmembrane transport       	11/141	3247/269428	1.35e-06	4	11	0.00864	0.00843	0.00861	0.00036	TraesCS1A02G277100, TraesCS2B02G013000, TraesCS2D02G009100, TraesCS4A02G287900, TraesCS4B02G262900, TraesCS5A02G100600, TraesCS5A02G332300, TraesCS5D02G338200, TraesCS6D02G060200, TraesCS7D02G130800, TraesCSU02G207500
.....GO:0048577	BP	e	negative regulation of short-day photoperiodism, flowering	2/141	6/269428	4.07e-06	8	2	0.0262	0.0255	0.0261	0.000969	TraesCS5A02G166100, TraesCS5D02G170700
..GO:0044237	BP	e	cellular metabolic process    	28/141	21154/269428	4.57e-06	2	28	0.0293	0.0286	0.0292	0.00105	TraesCS1A02G152600, TraesCS1A02G326100, TraesCS1A02G406500, TraesCS1B02G436700, TraesCS1D02G096300, TraesCS2A02G009300, TraesCS2A02G467900, TraesCS2B02G011400, TraesCS2B02G623400, TraesCS2D02G010200, TraesCS3A02G001500, TraesCS3A02G204000, TraesCS3A02G434400, TraesCS3B02G039600, TraesCS4A02G315700, TraesCS4B02G286300, TraesCS5A02G365400, TraesCS5A02G428200, TraesCS5B02G102000, TraesCS5B02G516600, TraesCS5B02G535400, TraesCS6A02G047500, TraesCS6B02G063400, TraesCS6B02G404500, TraesCS6D02G350000, TraesCS7D02G032700, TraesCS7D02G419300, TraesCSU02G115400
...GO:0006810	BP	e	transport                     	13/141	5558/269428	8.22e-06	3	13	0.0528	0.0515	0.0526	0.00176	TraesCS1A02G277100, TraesCS2A02G031600, TraesCS2B02G013000, TraesCS2D02G009100, TraesCS4A02G287900, TraesCS4B02G262900, TraesCS5A02G030900, TraesCS5A02G100600, TraesCS5A02G332300, TraesCS5D02G338200, TraesCS6D02G060200, TraesCS7D02G130800, TraesCSU02G207500
..GO:0051234	BP	e	establishment of localization 	13/141	5577/269428	8.52e-06	2	13	0.0547	0.0534	0.0545	0.00177	TraesCS1A02G277100, TraesCS2A02G031600, TraesCS2B02G013000, TraesCS2D02G009100, TraesCS4A02G287900, TraesCS4B02G262900, TraesCS5A02G030900, TraesCS5A02G100600, TraesCS5A02G332300, TraesCS5D02G338200, TraesCS6D02G060200, TraesCS7D02G130800, TraesCSU02G207500
